"","Order_all","Family_all","Genus_all","Species_all","subspecies","species_geonet","sex_or_flower_type","breeding_system","autonomous_selfing_level (none/low/medium/high)","compatibility","compatibility_genus","info_level","asexual_reproduction","asexual_reproduction_type","agamospermy/apomixis (yes/no/some_populations)","parasitic (yes/no)","flower_colour","flower_morphology","flower_pollinator_morphology","flower_symmetry","corolla_diameter_mean_mm","corolla_diameter_min_mm","corolla_diameter_max_mm","corolla_length_mean_mm","corolla_length_min_mm","corolla_length_max_mm","tube_length_mm","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","references","reference_journal","doi","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n","intramorph_percentage","intramorph_n","stamen_length_mm","stamen_length_min_mm","stamen_length_max_mm","style_length_mm","style_length_min_mm","style_length_max_mm","ovary_length_mm","ovary_min_mm","ovary_max_mm","stigma_length_mm","stigma_min_mm","stigma_max_mm","pistil_length_mm","pistil_min_mm","pistil_max_mm","inflorescence_form","inflorescence_arrangement","inflorescence_length_mm","inflorescence_width_mm","inflorescence_comment","pollen_anther_mean","pollen_anther_sd","pollen_anther_n","pollen_flower_mean","pollen_flower_min","pollen_flower_max","pollen_flower_sd","pollen_flower_n","pollen_ovule_ratio","pollen_ovule_ratio_sd","ovules_mean","ovules_sd","ovules_n","stamen_mean","anthers_exerted_yes_or_no","anthers_exerted_mm","pistil_mean","stigma_mean","stigma_exerted_yes_or_no","stigma_exerted_mm","flowers_inflorescences_min","flowers_inflorescences_max","flowers_inflorescences_mean","inflorescences_plant_min","inflorescences_plant_max","inflorescences_plant_mean","flower_plant_min","flower_plant_max","flower_plant_mean","flower_lifespan_days","flowering_time_days","nectar_yes_or_no","nectar_ul_day_mean","nectar_ul_day_sd","nectar_ul_day_n","total_nectar_ul_mean","total_nectar_ul_sd","total_nectar_ul_n","sugar_nectar_mg_mean","sugar_nectar_mg_sd","sugar_nectar_mg_n","sugar_concentration_mean","sugar_concentration_sd","sugar_concentration_n","fruit_type","fruit_colour","fruit_length_mm","fruit_width_mm","pollen_polar_length_um_mean","pollen_polar_length_um_min","pollen_polar_length_um_max","pollen_equatorial_length_mean_um","pollen_equatorial_length_min_um","pollen_equatorial_length_max_um","pollen_polar_equatorial","mean_pollen_tube_growth_um_min","chromosome number","ploidy","location","country","references__1","reference_journal__1","doi__5","doi__6","doi__7","doi__8","doi__9"
"711","Alismatales","Alismataceae","Sagittaria","Sagittaria trifolia",NA,"Sagittaria trifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712","Alismatales","Alismataceae","Sagittaria","Sagittaria rhombifolia",NA,"Sagittaria rhombifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713","Alismatales","Alismataceae","Saggitaria","Sagittaria latifolia","NA","Sagittaria latifolia","separated","monoecious and dioecious","NA","NA","NA","male_flower","yes","rhizomes","NA",NA,"white","bowl","bowl","actinomorphic","25","NA","NA","9","NA","NA","NA","herb","perennial","0.29999999999999999","1.2","0.75","Yakimowski and Barrett, 2014","Journal of Evolutionary Biology","https://doi.org/10.1111/jeb.12322 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714","Alismatales","Alismataceae","Saggitaria","Sagittaria latifolia","NA","Sagittaria latifolia","separated","monoecious and dioecious","NA","NA","NA","female_flower","yes","rhizomes","NA",NA,"white","bowl","bowl","actinomorphic","25","NA","NA","9","NA","NA","NA","herb","perennial","0.29999999999999999","1.2","0.75","Yakimowski and Barrett, 2015","Journal of Evolutionary Biology","https://doi.org/10.1111/jeb.12322 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715","Alismatales","Alismataceae","Sagittaria","Sagittaria guayanensis",NA,"Saggitaria quyanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716","Gentianales","Gentianaceae","Sabatia","Sabatia angularis","NA","Sebatia angularis","bisexual","hermaphrodite","medium","self_compatible","NA","flower","NA","NA","no",NA,"pink","bowl","bowl","actinomorphic","26","18","34","8.5","NA","NA","NA","herb","annual","0.20000000000000001","0.80000000000000004","0.5","spigler 2017; NA","journal: annals of botany; online: http://ngpherbaria.org","10.1093/aob/mcw195","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717","Sapindales","Rutaceae","Ruta","Ruta graveolens",NA,"Ruta graveolens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718","Sapindales","Rutaceae","Ruta","Ruta chalepensis","NA","Ruta chalepensis","bisexual","hermaphrodite","NA","self_compatible","NA","flower","NA","NA","NA",NA,"yellow","disk","disk","actinomorphic","10","NA","NA","4","NA","NA","NA","herb","perennial","0.59999999999999998","0.69999999999999996","0.65000000000000002","NA; ren & tang 2012","online: efloraindia; journal: annals of botany","NA","https://doi.org/10.1093/aob/mcs181",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","5","7","4","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","NA","NA","10",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA; ren & tang 2012","online: efloraindia; annals of botany","NA","https://doi.org/10.1093/aob/mcs181",NA,NA,NA
"719","Lamiales","Acanthaceae","Ruellia","Ruellia tweediana","NA","Ruellia tweediana","bisexual","cleistogamous & chasmogamous","NA","NA","NA","flower","yes","rhizomes and stem segments","NA",NA,"purple","campanulate","campanulate","zygomorphic","50","NA","NA","37.5","NA","NA","NA","herb","perennial","0.14999999999999999","1.2","0.67500000000000004","huey, steck & fox 2009; wilson & mecca 003","journal: florida entomologist (90) 4; journal: journal of environmental horticulture","10.1653/0015-4040(2007)90[763:BNOMRD]2.0.CO;2","ISSN: 0738-2898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720","Lamiales","Acanthaceae","Ruellia","Ruellia strepens","NA","Ruellia strepens","bisexual","hermaphrodite","NA","partially_self_compatible","NA","flower","no","NA","NA",NA,"purple","campanulate","tube","actinomorphic","38","NA","NA","50","NA","NA","12","herb","perennial","45","90","68","Hendrix and Krakos, 2013","Botany 2013 Conference","http://2013.botanyconference.org/engine/search/index.php?func=detail&aid=499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","Lamiales","Acanthaceae","Ruellia","Ruellia ciliosa","NA","Ruellia ciliosa","bisexual","hermaphrodite","NA","NA","self-compatible","flower","yes","suckers","NA",NA,"light purple","funnelform","funnelform","actinomorphic","30","NA","NA","1","NA","NA","NA","herb","perennial","0.074999999999999997","0.01","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722","Lamiales","Acanthaceae","Ruellia","Ruellia blechum",NA,"Blechum pyramidatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723","Asterales","Asteraceae","Rudbeckia","Rudbeckia triloba","NA","Rudbeckia triloba","bisexual","hermaphrodite","NA","NA","NA","capitulum","NA","NA","NA",NA,"yellow_and_dark_purple","disk","disk","actinomorphic","45","NA","NA","7.5","NA","NA","NA","herb","perennial","NA","2","1","NA","online: http://www.missouriplants.com","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"724","Asterales","Asteraceae","Rudbeckia","Rudbeckia triloba","NA","Rudbeckia triloba","bisexual","hermaphrodite","NA","NA","NA","disc_floret","NA","NA","NA",NA,"dark_purple","tube","tube","actinomorphic","0.80000000000000004","NA","NA","2.5","NA","NA","2.5","herb","perennial","NA","2","1","NA","online: http://www.missouriplants.com","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725","Asterales","Asteraceae","Rudbeckia","Rudbeckia triloba","NA","Rudbeckia triloba","bisexual","hermaphrodite","NA","NA","NA","ray_floret","NA","NA","NA",NA,"yellow","exposed","exposed","zygomorphic","7","NA","NA","20","NA","NA","NA","herb","perennial","NA","2","1","NA","online: http://www.missouriplants.com","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726","Asterales","Asteraceae","Rudbeckia","Rudbeckia subtomentosa","NA","Rudbeckia subtomentosa","bisexual","hermaphrodite","none","self_incompatible","NA","capitulum","NA","NA","NA",NA,"yellow_and_brown_disk","disk","disk","actinomorphic","94","NA","NA","3.5","NA","NA","NA","herb","perennial","0.90000000000000002","1.8","1.3500000000000001","NA; oates, ranney & touchell 2012; NA; thomas et al., 1989","online: https://www.illinoiswildflowers.info; journal: hortscience; online: http://www.missouriplants.com; book: asteraceae of louisiana","NA","10.21273/HORTSCI.47.9.1217","NA","ISBN: 1889878022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727","Asterales","Asteraceae","Rudbeckia","Rudbeckia subtomentosa","NA","Rudbeckia subtomentosa","bisexual","hermaphrodite","none","self_incompatible","NA","disc_floret","NA","NA","NA",NA,"brown","tube","tube","actinomorphic","0.65000000000000002","NA","NA","3.5","NA","NA","2","herb","perennial","0.90000000000000002","1.8","1.3500000000000001","NA; oates, ranney & touchell 2012; NA; thomas et al., 1989","online: https://www.illinoiswildflowers.info; journal: hortscience; online: http://www.missouriplants.com; book: asteraceae of louisiana","NA","10.21273/HORTSCI.47.9.1217","NA","ISBN: 1889878022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728","Asterales","Asteraceae","Rudbeckia","Rudbeckia subtomentosa","NA","Rudbeckia subtomentosa","NA","NA","none","sterile","NA","ray_floret","NA","NA","NA",NA,"yellow","exposed","exposed","zygomorphic","6.7000000000000002","6","7","35","NA","NA","NA","herb","perennial","0.90000000000000002","1.8","1.3500000000000001","NA; oates, ranney & touchell 2012; NA; thomas et al., 1989","online: https://www.illinoiswildflowers.info; journal: hortscience; online: http://www.missouriplants.com; book: asteraceae of louisiana","NA","10.21273/HORTSCI.47.9.1217","NA","ISBN: 1889878022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729","Asterales","Asteraceae","Rudbeckia","Rudbeckia laciniata","NA","Rudbeckia laciniata","bisexual","hermaphrodite","NA","NA","NA","capitulum","yes","rhizomes","NA",NA,"yellow","disk","disk","actinomorphic","63","50","76","13","NA","NA","NA","herb","perennial","0.90000000000000002","2.3999999999999999","1.6499999999999999","NA; NA","online: https://www.illinoiswildflowers.info; online: https://www.gbif.org","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"730","Asterales","Asteraceae","Rudbeckia","Rudbeckia laciniata","NA","Rudbeckia laciniata","bisexual","hermaphrodite","NA","NA","NA","disc_floret","yes","rhizomes","NA",NA,"yellow","tube","tube","actinomorphic","1","NA","NA","4.25","3.5","5","4.25","herb","perennial","0.90000000000000002","2.3999999999999999","1.6499999999999999","NA; NA","online: https://www.illinoiswildflowers.info; online: https://www.gbif.org","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"731","Asterales","Asteraceae","Rudbeckia","Rudbeckia laciniata","NA","Rudbeckia laciniata","bisexual","hermaphrodite","NA","NA","NA","ray_floret","yes","rhizomes","NA",NA,"yellow","exposed","exposed","zygomorphic","9","4","14","32.5","15","50","NA","herb","perennial","0.90000000000000002","2.3999999999999999","1.6499999999999999","NA; NA","online: https://www.illinoiswildflowers.info; online: https://www.gbif.org","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732","Asterales","Asteraceae","Rudbeckia","Rudbeckia hirta","NA","Rudbeckia hirta","bisexual","hermaphrodite","NA","NA","NA","capitulum","NA","NA","NA",NA,"yellow_and_dark_purple","disk","disk","actinomorphic","82","NA","NA","14","NA","NA","NA","herb","annual_short_lived_perennial","NA","1","0.5","NA; NA","online: https://www.wildflower.org; online: http://www.missouriplants.com","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"733","Asterales","Asteraceae","Rudbeckia","Rudbeckia hirta","NA","Rudbeckia hirta","bisexual","hermaphrodite","NA","NA","NA","disc_floret","NA","NA","NA",NA,"dark_purple","tube","tube","actinomorphic",NA,"NA","NA","4.5","NA","NA","4.5","herb","annual_short_lived_perennial","NA","1","0.5","NA; NA","online: https://www.wildflower.org; online: http://www.missouriplants.com","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734","Asterales","Asteraceae","Rudbeckia","Rudbeckia hirta","NA","Rudbeckia hirta","none","none","none","sterile","NA","ray_floret","NA","NA","NA",NA,"yellow","exposed","exposed","zygomorphic","10","NA","NA","40","NA","NA","NA","herb","annual_short_lived_perennial","NA","1","0.5","NA; NA","online: https://www.wildflower.org; online: http://www.missouriplants.com","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
