Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,sex_or_flower_type,breeding_system,autonomous_selfing_level (none/low/medium/high),compatibility,compatibility_genus,info_level,asexual_reproduction,asexual_reproduction_type,agamospermy/apomixis (yes/no/some_populations),parasitic (yes/no),flower_colour ,flower_morphology,flower_pollinator_morphology,flower_symmetry,corolla_diameter_mean_mm,corolla_diameter_min_mm,corolla_diameter_max_mm,corolla_length_mean_mm,corolla_length_min_mm,corolla_length_max_mm,tube_length_mm,life_form,lifespan,plant_height_min_m,plant_height_max_m,plant_height_mean_m,references,reference_journal,doi,doi,doi,doi,doi,type_of_proxy_seed _or_fruit,open_pollination_percentage,open_pollination_n,hand_poll_outcrossing_percentage,hand_poll_outcrossing_percentage_n,hand_poll_self_percentage,hand_poll_self_n,spontaneus_selfing_percentage,spontaneus_selfing_n,geitonogamy_percentage,geitonogamy_n,apomixis_percentage,apomixis_n,intramorph_percentage,intramorph_n,stamen_length_mm,stamen_length_min_mm,stamen_length_max_mm,style_length_mm,style_length_min_mm,style_length_max_mm,ovary_length_mm,ovary_min_mm,ovary_max_mm,stigma_length_mm,stigma_min_mm,stigma_max_mm,pistil_length_mm,pistil_min_mm,pistil_max_mm,inflorescence_form,inflorescence_arrangement,inflorescence_length_mm,inflorescence_width_mm,inflorescence_comment,pollen_anther_mean,pollen_anther_sd,pollen_anther_n,pollen_flower_mean,pollen_flower_min,pollen_flower_max,pollen_flower_sd,pollen_flower_n,pollen_ovule_ratio,pollen_ovule_ratio_sd,ovules_mean,ovules_sd,ovules_n,stamen_mean,anthers_exerted_yes_or_no,anthers_exerted_mm,pistil_mean,stigma_mean,stigma_exerted_yes_or_no,stigma_exerted_mm,flowers_inflorescences_min,flowers_inflorescences_max,flowers_inflorescences_mean,inflorescences_plant_min,inflorescences_plant_max,inflorescences_plant_mean,flower_plant_min,flower_plant_max,flower_plant_mean,flower_lifespan_days,flowering_time_days,nectar_yes_or_no,nectar_ul_day_mean,nectar_ul_day_sd,nectar_ul_day_n,total_nectar_ul_mean,total_nectar_ul_sd,total_nectar_ul_n,sugar_nectar_mg_mean,sugar_nectar_mg_sd,sugar_nectar_mg_n,sugar_concentration_mean,sugar_concentration_sd,sugar_concentration_n,fruit_type,fruit_colour,fruit_length_mm,fruit_width_mm,pollen_polar_length_um_mean,pollen_polar_length_um_min,pollen_polar_length_um_max,pollen_equatorial_length_mean_um ,pollen_equatorial_length_min_um,pollen_equatorial_length_max_um,pollen_polar_equatorial,mean_pollen_tube_growth_um_min,chromosome number,ploidy,location,country,references,reference_journal,doi,doi,doi,doi,doi,
Sapindales,Rutaceae,Zanthoxylum,Zanthoxylum americanum,NA,Zanthoxylum americanum,separated,dioecious,none,dioecious,NA,female_flower,yes,apomixis and underground runners,yes,,green,exposed,exposed,actinomorphic,6,NA,NA,6,NA,NA,NA,shrub,perennial,1.2,7.6,4.4,NA; NA,online: https://www.friendsofthewildflowergarden.org; online: https://www.illinoiswildflowers.info,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Youngia,Youngia japonica,NA,Youngia japonica,bisexual,hermaphrodite,high,self_compatible,NA,capitulum,NA,NA,NA,,yellow,disk,disk,actinomorphic,10,capitulum,capitulum,4.5,capitulum,capitulum,NA,herb,annual,NA,0.6,0.3,"NA; hauber, kuhnell & miller 1989; nakamura et al., 2013",online: efloras.org; journal: the southwestern naturalist; journal: systematic botany,NA,https://doi.org/10.2307/3671520ÿ,https://doi.org/10.1600/036364413x666769ÿ,,,NA,,,,,,,,,,,,,,,6,NA,NA,4,NA,NA,1,,NA,NA,,,,,,capitulum,,4.5,10,,,,,300,,,NA,NA,300,,1,NA,NA,,,,,,,,,,,,,,,,,,30,yes,,,,,,,,,,,,,achene,,1.75,,,,,,,,,,2n=16,diploid,,,"NA; hauber, kuhnell & miller 1989; nakamura et al., 2013",online: efloras.org; the southwestern naturalist; systematic botany,NA,https://doi.org/10.2307/3671520ÿ,https://doi.org/10.1600/036364413x666769ÿ,,,
Asterales,Asteraceae,Youngia,Youngia japonica,NA,Youngia japonica,bisexual,hermaphrodite,high,self_compatible,NA,floret,NA,NA,NA,,yellow,tube,tube,actinomorphic,2,floret,floret,4.5,floret,floret,4.5,herb,annual,NA,0.6,0.3,"NA; hauber, kuhnell & miller 1989; nakamura et al., 2013; NA",online: efloras.org; journal: the southwestern naturalist; journal: systematic botany; online: http://keys.trin.org.au,NA,https://doi.org/10.2307/3671520ÿ,https://doi.org/10.1600/036364413x666769ÿ,NA,,NA,,,,,,,,,,,,,,,6,NA,NA,4,NA,NA,1,,NA,NA,,,,,,capitulum,,4.5,10,,,,,300,,,NA,NA,300,,1,NA,NA,,,,,,,,,,,,,,,,,,30,yes,,,,,,,,,,,,,achene,,1.75,,,,,,,,,,2n=16,diploid,,,"NA; hauber, kuhnell & miller 1989; nakamura et al., 2013; NA",online: efloras.org; the southwestern naturalist; systematic botany; online: http://keys.trin.org.au,NA,https://doi.org/10.2307/3671520ÿ,https://doi.org/10.1600/036364413x666769ÿ,NA,,
Gentianales,Apocynaceae,Xysmalobium,Xysmalobium involucratum,,Xysmalobium involucratum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Xysmalobium,Xysmalobium gerrardii,,Xysmalobium gerrardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poales,Xyridaceae,Xyris,Xyrisÿsetigera,,Xyris setigera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poales,Xyridaceae,Xyris,Xyrisÿsavanensis,,Xyris savanensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poales,Xyridaceae,Xyris,Xyris laxifolia,,Xyris laxifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poales,Xyridaceae,Xyris,Xyris jupicai,,Xyris jupicai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnoliales,Annonaceae,Xylopia,Xylopia lamarckii,,Xylopia lamarckii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Wollastonia,Wollastonia biflora,NA,VVedelia biflora,bisexual,hermaphrodite,NA,self_compatible,NA,capitulum,NA,NA,NA,,yellow,tube,campanulate,actinomorphic,1,NA,NA,5,NA,NA,5,shrub,perennial,1,2,1.5,NA,online: http://keys.trin.org.au,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capitulum,NA,9,9,NA,NA,NA,NA,NA,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achene,NA,3.25,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,online: http://keys.trin.org.au,NA,,,,,
Fabales,Fabaceae,Wisteria,Wisteria floribunda,NA,Wisteria floribunda,bisexual,hermaphrodite,NA,NA,NA,flower,yes,layering stems,NA,,blue-violet,papilionaceous,papilionaceous,zygomorphic,15,NA,NA,17.5,15,20,NA,vine,perennial,NA,20,10,NA; haines 2011,online: https://www.fs.fed.us; book: new england wild flower societys flora novae angliae: a manual for the identification of native and naturalized higher vascular plants of new england,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvales,Thymelaeaceae,Wikstroemia,Wikstroemia indica,,Wikstroemia indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Werneria,Werneriaÿpygmaea,,Werneria pygmaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Wendlandia,Wendlandia formosana,NA,Wendtandia formosana,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,,white yellow,funnelform,funnelform,actinomorphic,3,NA,NA,2.25,1.5,4,2.25,tree,perennial,2,8,5,xie & zhang 2010,journal: botanical journal of the linnean society,https://doi.org/10.1111/j.1095-8339.2010.01080.x,,,,,NA,,,,,,,,,,,,,,,2.8,NA,NA,,,,,,,,,,2.8,NA,NA,panicle,terminal,160,150,NA,,,,,,,,,,,,,,5,yes,NA,,2,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,capsule,,1.9,2.1,12.33,11.2,13.5,12.22,11,13.9,1,,,,,,xie & zhang 2010,botanical journal of the linnean society,https://doi.org/10.1111/j.1095-8339.2010.01080.x,,,,,
Dipsacales,Caprifoliaceae,Weigela,Weigela japonica,,Weigela japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dipsacales,Caprifoliaceae,Weigela,Weigela hortensis,NA,Weigela hortensis,bisexual,hermaphrodite,NA,NA,self_incompatible,flower,NA,NA,NA,,pink,campanulate,campanulate,actinomorphic,20,NA,NA,30,25,35,,shrub,perennial,2,3,2.5,shimokawa 2015; NA,thesis: tokyo etropolitan university; online: https://www.flowersofindia.net/,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dipsacales,Caprifoliaceae,Weigela,Weigela decora,,Weigela decora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Wedelia,Wedeliaÿfruticosa,,Wedelia calycina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicales,Brassicaceae,Weberbauera,Weberbaueraÿstenophylla,,Stenodraba stenophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtales,Melastomataceae,Warneckea,Warneckea trinervis,NA,Warneckea trinervis,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,,pale pink,bowl,bowl,actinomorphic,6,NA,NA,2,NA,NA,NA,shrub,perennial,NA,4,2,"bosser, cadet, gueho & marais 1990",book: flore des mascareignes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvales,Malvaceae,Waltheria,Waltheria ovata,NA,Waltheria ovata,bisexual,distylous,none,partially_self_incompatible,NA,flower,NA,NA,no,,yellow,campanulate,campanulate,actinomorphic,5,NA,NA,5,NA,NA,NA,shrub,perennial,0.1,2,1.55,"bramow et al., 2013; hervias-parejo & traveset 2018",journal: evolutionary ecology; journal: american journal of botany,https://doi.org/10.1007/s10682-012-9588-9ÿ,https://doi.org/10.1002/ajb2.1122ÿ,,,,fruit,65,492,64.5,179,20,10,50,10,,,,,,,4.6,4.37,4.83,,,,,,,,,,7.49,6.89,8.09,,,,,,,,,,,,,,,,,,,5,yes,one morph,,,yes,one morph,,,,,,,,,,,,,,,,0.1,0,NA,,,,18,0,NA,,,,,,,,,,,,,,,galapagos,ecuador,"bramow et al., 2013; hervias-parejo & traveset 2018",evolutionary ecology; american journal of botany,https://doi.org/10.1007/s10682-012-9588-9ÿ,https://doi.org/10.1002/ajb2.1122ÿ,,,,
Malvales,Malvaceae,Waltheria,Waltheria indica,NA,Waltheria indica,bisexual,heterostylous,none,self_incompatible,NA,flower,NA,NA,NA,,yellow,tube,tube,actinomorphic,4,NA,NA,4.3,NA,NA,4.3,shrub,perennial,0.5,2,1.75,"bahadur, sailu & swamy; saunders 2007",journal: journal of palynology; journal: bonplandia 16(1-2): 143-180.2007,NA,ISSN: 0524-0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvales,Malvaceae,Waltheria,Waltheriaÿcommunis,,Waltheria communis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Campanulaceae,Wahlenbergia,Wahlenbergia ceracea,,Wahlenbergia ceracea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Campanulaceae,Wahlenbergia,Wahlenbergia albomarginata,,Wahlenbergia albomarginata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabales,Vochysiaceae,Vochysia,Vochysiaÿthyrsoidea,,Vochysia thyrsoidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geraniales,Francoaceae,Viviania,Viviania marifolia,,Viviania marifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitales,Vitaceae,Vitis,Vitis vulpina,NA,Vitis vulpina,bisexual,sub-monoecious,NA,self_compatible,NA,flower,NA,NA,NA,,yellowish-green,exposed,exposed,actinomorphic,3,NA,NA,NA,NA,NA,NA,vine,perennial,NA,20,10,,,http://swbiodiversity.org/seinet/taxa/index.php?taxon=105338,https://www.illinoiswildflowers.info/trees/plants/frost_grape.html,http://climbers.lsa.umich.edu/wp-content/uploads/2013/07/VitivulpVITAFINAL.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitales,Vitaceae,Vitis,Vitis cordifolia,NA,Vitis cordifolia,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,,green,exposed,exposed,actinomorphic,3,NA,NA,3,NA,NA,NA,vine,perennial,NA,25,12.5,NA,online: https://hort.purdue.edu,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiales,Lamiaceae,Vitex,Vitex trifolia,NA,Vitex rotundifolia,bisexual,hermaphrodite,none,NA,NA,flower,yes,stolons and stem fragments,NA,,blue to purple,tube,tube,zygomorphic,10,NA,NA,11.5,10,13,30,shrub,perennial,3,8,5,kadereit 2004; NA; hiraiwa & ushimaru 2017,"book: Flowering plants, dicotyledons, lamiales (except Acanthaceae including Avicenniaceae); online: powo.science.kew.org; journal: proceedings of the royal society b: biological sciences",NA,NA,10.1098/rspb.2016.2218,,,NA,,,,,,,,,,,,,,,,,,6.5,5,8,,,,,,,,,,panicle,,,,,,,,,,,,,,,,,,,yes,NA,1,1,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,drupe,blue or black,5,5,,,,,,,,,,,,,kadereit 2004; NA,"book: Flowering plants, dicotyledons, lamiales (except Acanthaceae including Avicenniaceae); online: powo.science.kew.org",NA,NA,,,,
