Species_geonet,Unique_id,Locality,Latitude,Longitude,Order_all,Family_all,Genus_all,Species_all,Subspecies,Sex_or_flower_type,Breeding_system,Autonomous_selfing_level,Autonomous_selfing_level_data_type,Autonomous_selfing_level_fruit_set,Autonomous_selfing_level_seed_set,autonomous_selfing_sample_size,Compatibility,Self_compatible_author,Self_compatible_reference,Self_compatible_doi,Compatibility_genus,Info_level,Asexual_reproduction,Asexual_reproduction_type,Agamospermy/apomixis (yes/no/some_populations),Flower_colour,Flower_morphology,Flower_symmetry,Corolla_diameter_mean,Corolla_diameter_min,Corolla_diameter_max,Corolla_length_mean,Corolla_length_min,Corolla_length_max,Tube_length,style_length_mm,style_length_min_mm,style_length_max_mm,style_length_max_sd,style_length_max_N,ovules_mean,ovules_min,ovules max,ovules_sd,ovules_n,life_form,lifespan,plant_height_min_m,plant_height_max_m,plant_height_mean_m,References,Reference_info,DOI,doi__1,doi__2,doi__3,doi__4,type_of_proxy_seed _or_fruit,open_pollination_percentage,open_pollination_n,hand_poll_outcrossing_percentage,hand_poll_outcrossing_percentage_n,hand_poll_self_percentage,hand_poll_self_n,spontaneus_selfing_percentage,spontaneus_selfing_n,geitonogamy_percentage,geitonogamy_n,apomixis_percentage,apomixis_n,intramorph_percentage,intramorph_n,stamen_length_mm,stamen_length_min_mm,stamen_length_max_mm,style_length_mm,style_length_min_mm,style_length_max_mm,style_length_max_sd,style_length_max_N,ovary_length_mm,ovary_min_mm,ovary_max_mm,stigma_length_mm,stigma_min_mm,stigma_max_mm,pistil_length_mm,pistil_min_mm,pistil_max_mm,inflorescence_form,inflorescence_arrangement,inflorescence_length_mm,inflorescence_width_mean_mm,inflorescence_width_min_mm,inflorescence_width_max_mm,inflorescence_comment,pollen_anther_mean,pollen_anther_min,pollen_anther_max,pollen_anther_sd,pollen_anther_n,pollen_flower_mean,pollen_flower_min,pollen_flower_max,pollen_flower_sd,pollen_flower_n,pollen_ovule_ratio,pollen_ovule_ratio_sd,ovules_mean,ovules_min,ovules max,ovules_sd,ovules_n,stamen_mean,stamen_min,stamen_max,anthers_exerted_yes_or_no,anthers_exerted_mm,pistil_mean,stigma_mean,stigma_exerted_yes_or_no,stigma_exerted_mm,flowers_inflorescences_min,flowers_inflorescences_max,flowers_inflorescences_mean,inflorescences_plant_min,inflorescences_plant_max,inflorescences_plant_mean,flower_plant_min,flower_plant_max,flower_plant_mean,flower_lifespan_days,flowering_time_days,nectar_yes_or_no,nectar_ul_day_mean,nectar_ul_day_sd,nectar_ul_day_n,total_nectar_ul_mean,total_nectar_ul_sd,total_nectar_ul_n,sugar_nectar_mg_mean,sugar_nectar_mg_sd,sugar_nectar_mg_n,sugar_concentration_mean,sugar_concentration_sd,sugar_concentration_n,fruit_type,fruit_colour,fruit_length_mm,fruit_width_mm,pollen_polar_length_um_mean,pollen_polar_length_um_min,pollen_polar_length_um_max,pollen_equatorial_length_mean_um,pollen_equatorial_length_min_um,pollen_equatorial_length_max_um,pollen_polar_equatorial,mean_pollen_tube_growth_um_min,chromosome number,ploidy,location,country,references__1,reference_journal__1,doi__5,doi__6,doi__7,doi__8,doi__9
Veronica serpyllifolia,beck_2006.csv,Denmark,56.066667,10.216667,Lamiales,Plantaginaceae,Veronica,Veronica serpyllifolia,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,self_compatible,NA,NA,NA,NA,flower,yes,rhizomes,NA,white_and_lilac,bowl,actinomorphic,8,6,10,2.8,NA,NA,NA,2.25,1,3.5,NA,NA,59,NA,NA,10,NA,herb,perennial,0.05,0.2,125,"scalone, kolf & albach 2013; les 2017; NA; NA; kloss, fischer & durka 2011","journal: nordic journal of botany; book: aquatic dycotiledons of north america: ecology, life history and systematics; online: http://www.luontoportti.com; online: http://biology.burke.washington.edu; journal: basic and applied ecology",10.1111/j.1756-1051.2012.01706.x,10.1201/9781315118116,NA,NA,:10.1016/j.baae.2011.06.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicia cracca,beck_2006.csv,Denmark,56.066667,10.216667,Fabales,Fabaceae,Vicia,Vicia cracca,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,partially_self_incompatible,NA,NA,NA,NA,flower,yes,rhizomes,NA,blue,papilionaceous,zygomorphic,6.5,NA,NA,11,NA,NA,NA,11,NA,NA,NA,NA,5.5,4,7,NA,NA,trepadora,perennial,NA,2,1,"eliasova & munzbergova 2014; NA; NA; aarssen, hall & jensen 1986; NA",journal: biological journal of the linnean society; online: http://climbers.lsa.umich.edu; online: https://static1.squarespace.com; journal: canadian journal of plant science; online: http://flora.huh.harvard.edu/,https://doi.org/10.1111/bij.12318,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicia sepium,beck_2006.csv,Denmark,56.066667,10.216667,Fabales,Fabaceae,Vicia,Vicia sepium,NA,bisexual,hermaphrodite,none,qualitative,NA,NA,NA,self_incompatible,NA,NA,NA,NA,flower,yes,runners,no,violet_or_blue,papilionaceous,zygomorphic,13.5,NA,NA,13.5,12,15,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,herb,perennial,NA,1,0.5,kleunen et al; 2008; NA; NA,journal: journal of plant ecology; online: http://www.agroatlas.ru/ *compatibility*; online: http://flora.huh.harvard.edu/,https://doi.org/10.1093/jpe/rtn017,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelica archangelica,bundgaard_2003.csv,Denmark,56.066667,10.233333,Apiales,Apiaceae,Angelica,Angelica archangelica,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,partially_self_incompatible,ojala 1986,journal: annales botanici fennici,NA,NA,flower,NA,NA,NA,green,disk,actinomorphic,4.5,4,5,0.5,NA,NA,NA,1.5,1,2,NA,NA,2,NA,NA,NA,NA,,,,,,NA; NA,online: http://www.luontoportti.com/; online: http://www.floranordica.org/,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamaenerium angustifolium,bundgaard_2003.csv,Denmark,56.066667,10.233333,Myrtales,Onagraceae,Epilobium,Epilobium angustifolium,NA,bisexual,hermaphrodite,low,qualitative,NA,NA,,self_compatible,mosquin 1966,journal: brittonia,NA,NA,flower,yes,lateral rooting,NA,pink,disk,zygomorphic,35,NA,NA,5,NA,NA,NA,15,10,20,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.2,1,0.3,myerscough 1958; NA,journal: journal of ecology; online: https://nature.ca/,10.2307/2259474,NA,,,,,,,,,,,,,,,,,,,,,,15,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium pratensis,bundgaard_2003.csv,Denmark,56.066667,10.233333,Asterales,Asteraceae,Cirsium,Cirsium pratense,NA,bisexual,hermaphrodite,low,qualitative,NA,NA,NA,partially_self_incompatible,de vere 2007,journal: journal of ecology,https://doi.org/10.1111/j.1365-2745.2007.01265.x,,capitulum,yes,rhizomes,NA,purple,capitulum,actinomorphic,27.5,25,30,22.5,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,de vere 1958,journal: journal of ecology,https://doi.org/10.1111/j.1365-2745.2007.01265.x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epilobium hirsutum,bundgaard_2003.csv,Denmark,56.066667,10.233333,Myrtales,Onagraceae,Epilobium,Epilobium hirsutum,NA,bisexual,hermaphrodite,low,qualitative,NA,NA,NA,partially_self_incompatible,NA,online: https://nas.er.usgs.gov/,NA,NA,flower,yes,rhizomes,NA,pink,bowl,actinomorphic,20,NA,NA,10,NA,NA,NA,8,5,11,NA,NA,NA,NA,NA,NA,NA,,,,,,NA; NA,online: https://nas.er.usgs.gov/; online: http://plantnet.rbgsyd.nsw.gov.au/,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculus sp1 M_PL_046,bundgaard_2003.csv,Denmark,56.066667,10.233333,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubus fruticosus,bundgaard_2003.csv,Denmark,56.066667,10.233333,Rosales,Rosaceae,Rubus,Rubus plicatus,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,pink,disk,actinomorphic,16,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA; NA,online: http://portal.cybertaxonomy.org/; book: flora malesiana,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stachys sylvatica,bundgaard_2003.csv,Denmark,56.066667,10.233333,Lamiales,Lamiaceae,Stachys,Stachys sylvatica,NA,bisexual,hermaphrodite,high,qualitative,NA,NA,NA,self_compatible,taylor & rowland 1992,journal: journal of ecology,10.1111/j.1365-2745.2010.01725.x,NA,flower,yes,stolons,NA,purple,tube,zygomorphic,7,NA,NA,7,6,8,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,,,,,,NA; taylor & rowland 2010,online: http://www.terrain.net.nz/; jounral: journal of ecology,NA, https://doi.org/10.1111/j.1365-2745.2010.01725.x ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torilis japonica,bundgaard_2003.csv,Denmark,56.066667,10.233333,Apiales,Apiaceae,Torilis,Torilis japonica,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,self_compatible,NA,NA,NA,NA,flower,no,NA,NA,white,bowl,zygomorphic,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,herb,annual,0.05,0.9,475,NA; ditommaso 2014; NA,online: http://www.luontoportti.com/; journal: invasive plant science and management; online: https://static1.squarespace.com,NA,https://doi.org/10.1614/IPSM-D-14-00028.1,NA,,,,,936,NA,NA,59.4,485,55.9,816,NA,NA,11.6,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19888,,,NA,NA,4972,,4,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19.2,22.8,21,19.2,22.8,1,,,,galapagos,ecuador,mcmullen 1987; mcmullen 2007,american journal of botany; botanical journal of the linnean society,https://doi.org/10.2307/2444139,https://doi.org/10.1111/j.1095-8339.2007.00590.x,,,
Trfolium sp1 M_PL_046,bundgaard_2003.csv,Denmark,56.066667,10.233333,NA,Fabaceae,Trifolium,Trifolium sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trifolium arvense,bundgaard_2003.csv,Denmark,56.066667,10.233333,Fabales,Fabaceae,Trifolium,Trifolium arvense,NA,bisexual,hermaphrodite,high,qualitative,NA,NA,NA,self_compatible,NA,online: https://www.illinoiswildflowers.info/,NA,NA,flower,NA,NA,NA,white,tube,zygomorphic,2,NA,NA,5,4,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA; NA,online: https://www.illinoiswildflowers.info/; online: http://ucjeps.berkeley.edu/,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbellifer sp1 M_PL_046,bundgaard_2003.csv,Denmark,56.066667,10.233333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified sp27 M_PL_046,bundgaard_2003.csv,Denmark,56.066667,10.233333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acantholippiaseriphioides,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Lamiales,Verbenaceae,Acantholippia,Acantholippia seriphioides,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,pink,tube,actinomorphic,6,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,perennial,0.3,0.6,0.45,"van baren et al., 2015",journal: boletin latinoamericano y del caribe de plantas medicinales y aromatis,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"van baren et al., 2015",boletin latinoamericano y del caribe de plantas medicinales y aromatis,NA,,,,
Aloyssia_gratissima,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Lamiales,Verbenaceae,Aloysia,Aloysia gratissima,NA,bisexual,hermaphrodite,medium,quantitative,68,NA,3000,self_compatible,morales & galetto 2003,journal: plant biology, https://doi.org/10.1055/s-2003-44794 ,NA,flower,NA,NA,NA,white,tube,actinomorphic,2.1,NA,NA,2.2,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,perennial,1.5,2,1.75,"moroni et al., 2016; morales & galetto 2016",journal: botanical journal of the linnean society; journal: plant biology,https://doi.org/10.1111/boj.12369,https://doi.org/10.1055/s-2003-44794,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,0,,,no,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"moroni et al., 2016; morales & galetto 2016",botanical journal of the linnean society; plant biology,https://doi.org/10.1111/boj.12369,https://doi.org/10.1055/s-2003-44794,,,
Argemone_subfusiformis,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Ranunculales,Papaveraceae,Argemone,Argemone subfusiformis,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,no,NA,NA,yellow,bowl,actinomorphic,50,30,70,25,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,annual,NA,1.5,0.75,otto & verloove 2016; kaul 1970,journal: phytotaxa; journal: proceedings of the indian academy of sciences,http://dx.doi.org/10.11646/phytotaxa.255.1.5,NA,,,,fruit,100,5,53,5,72,5,NA,NA,NA,NA,NA,NA,,,11,NA,NA,,NA,NA,,,10,9,11,2,1.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,34.37,33.46,35.28,34.37,33.46,35.28,1,,2n=28,diploid,,,otto & verloove 2016; kaul 1970,phytotaxa; proceedings of the indian academy of sciences,http://dx.doi.org/10.11646/phytotaxa.255.1.5,NA,,,
Arjona_longifolia,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Saxifragales,Schoepfiaceae,Arjona,Arjona longifolia,NA,bisexual,distylous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,white pinkish,tube,actinomorphic,7,NA,NA,14.5,14,15,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,perennial,NA,0.4,0.4,skottsberg 1940,journal: revista universidad (santiago),NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skottsberg 1940,revista universidad (santiago),NA,,,,
Baccharis_aff._crispa,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Asterales,Asteraceae,Baccharis,Baccharis crispa,NA,separated,dioecious,none,quantitative,0,NA,NA,dioecious,NA,NA,NA,NA,flower,yes,rhizomes,NA,yellow,campanulate,actinomorphic,5,male_capitulum,male_capitulum,3,male_capitulum,male_capitulum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,perennial,0.15,1,0.6,"heiden et al., 2012; NA",journal: rodriguesia; online: http://www.biblioteca.unlpam.edu.ar,https://doi.org/10.1590/s2175-78602012000300013,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,28,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heiden et al., 2012",rodriguesia,https://doi.org/10.1590/s2175-78602012000300013,,,,
Bougainvillea_spinosa,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Caryophyllales,Nyctaginaceae,Bougainvillea,Bougainvillea spinosa,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower_genus,NA,NA,NA,green,tube,actinomorphic,14,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,perennial,4,6,5,"nores et al., 2013",journal: botanical journal of the linnean society,https://doi.org/10.1111/boj.12009,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,NA,NA,NA,,,,33,NA,70,,,,,,,,,,,,,,,,,"nores et al., 2013",botanical journal of the linnean society,https://doi.org/10.1111/boj.12009,,,,
Bredemeyera_microphylla,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Fabales,Polygalaceae,Bredemeyera,Bredemeyera microphylla,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,yellow,papilionaceous,zygomorphic,6,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,5,NA,NA,shrub,perennial,0.2,0.3,0.25,"banks et al., 2008; NA",journal: botanical journal of the linnean society; online: sib.org.ar,https://doi.org/10.1111/j.1095-8339.2007.00723.x,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddleja_mendozensis,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Lamiales,Scrophulariaceae,Buddleja,Buddleja mendozensis,NA,bisexual,hermaphrodite,high,quantitative,71,NA,7,self_compatible,morales & galetto 2003,journal: plant biology, https://doi.org/10.1055/s-2003-44794 ,NA,flower,NA,NA,NA,orange,tube,actinomorphic,2,NA,NA,4,3.5,4.5,4,2.25,1.5,3,NA,NA,NA,NA,NA,NA,NA,shrub,perennial,0.2,2,1.1,chau 2017; norman 2000,thesis: systematics of buddleja; journal: flora neotropica,NA,NA,,,,fruit,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capparis_atamisquea,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Brassicales,Capparaceae,Atamisquea,Atamisquea emarginata,NA,bisexual,hermaphrodite,none,quantitative,3.5,NA,1003,self_incompatible,medan & ponessa,journal: plant systematics and evolution,10.1007/s00606-002-0241-x,NA,flower,NA,NA,NA,cream white,bowl,zygomorphic,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,perennial,1,8,4.5,NA; bianchi & gibbs 2000,book: flora of north america vol 7; journal: brazilian journal of botany,NA,http://dx.doi.org/10.1590/S0100-84042000000400005,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea_solstialis,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Asterales,Asteraceae,Centaurea,Centaurea solstitialis,NA,bisexual,hermaphrodite,low,qualitative,NA,NA,NA,self_compatible,"maddox et al., 1996",journal: canadian journal of botany,https://doi.org/10.1139/b96-031,NA,flower,no,NA,NA,yellow,campanulate,actinomorphic,16.5,13,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,annual,0.01,0.1,0.06,"NA; barthell et al., 2001; NA",online: the jepson herbarium; journal: ecological applications; online: http://www.uwyo.edu,NA,NA,NA,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerastium_arvense,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Caryophyllales,Caryophyllaceae,Cerastium,Cerastium arvense,NA,bisexual,hermaphrodite,low,qualitative,NA,NA,NA,self_incompatible,lundqvist 1990,journal: hereditas, https://doi.org/10.1111/j.1601-5223.1990.tb00085.x ,NA,flower,yes,rhizomes,no,white,bowl,actinomorphic,17.5,15,20,17.5,NA,NA,NA,2.5,2,3,NA,NA,35,20,50,NA,NA,herb,perennial,0.1,0.3,0.2,NA; lundqvist 2008; khalaf & stace 2000; NA,"online: http://www.luontoportti.com/ *height, life form, flower colour, flower size*; journal: hereditas; journal: preslia; online: https://nature.ca/",NA, https://doi.org/10.1111/j.1601-5223.1990.tb00085.x ,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cereus_sp.,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,NA,Cactaceae,Cereus,Cereus sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clematis_montevidensis,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Ranunculales,Ranunculaceae,Clematis,Clematis campestris,NA,separated,monoecious,none,quantitative,0,,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,white,brush,actinomorphic,30,male_flower,male_flower,15,male_flower,male_flower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,3,4,3.5,NA; NA,online: new zealand plant conservation network; online: climbers,NA,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condalia_microphylla,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Rosales,Rhamnaceae,Condalia,Condalia microphylla,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,yellow greenish,disk,actinomorphic,2.55,2.3,2.8,NA,NA,NA,NA,1.05,0.9,1.2,NA,NA,NA,NA,NA,NA,NA,shrub,perennial,0.8,2.5,1,johnston 1962,journal: brittonia,https://doi.org/10.2307/2805251,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha_sp.,chacoff_2011.csv,"Mendoza, Argentina",-32.008985,-68.015892,Boraginales,Boraginaceae,Cryptantha,Cryptantha sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
