Period,Site,NetworkID,Insect code,Alstonia macrophylla,Aphloia theiformis,Campnosperma seychellarum,Canthium bibracteatum,Chrysobalanus icaco,Cinnamomum verum,Colea seychellarum,Craterispermum microdon,Deckenia nobilis,Dillenia ferruginea,Dillenia suffruticosa,Diospyros seychellarum,Dracaena reflexa,Erythroxylum sechellarum,Euphorbia pyrifolia,Excoecaria benthiamiana,Gastonia crassa,Glionnetia sericea,Ixora pudica,Medusagyne oppositifolia,Melastoma malabathricum,Memecylon eleagni,Mimusops sechellarum,Nepenthes pervillei,Nephrosperma vanhoutteanum,Northea hornei,Ochna kirkii,Paragenipa wrightii,Paraserianthes falcataria,Phoenicophorium borsigianum,Pittosporum senacia,Premna serratifolia,Psidium cattleianum,Psychotria pervillei,Roscheria melanochaetes,Soulamea terminaloides,Syzygium wrightii,Timonius sechellensis
Oct-07,Ber,Ber2,T20,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Oct-07,Cas,Cas2,C10,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,1,,
Oct-07,Cas,Cas2,C12,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Oct-07,Cas,Cas2,C16,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Oct-07,Cas,Cas2,C3,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,
Oct-07,Cas,Cas2,C34,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Cas,Cas2,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Oct-07,Cas,Cas2,C9,,,,,,,,,,,,,,20,,,,,,,,5,,,2,,,,,,,,,,,,,
Oct-07,Cas,Cas2,HB,,,,,,,,,,1,,,,,,,,,,,,3,,,14,,,,,,,,,,,,,
Oct-07,Cas,Cas2,Phelsuma,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Oct-07,Cas,Cas2,T16,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Cas,Cas2,T28,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Cas,Cas2,T29,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Cas,Cas2,T30,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Cas,Cas2,T5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Cas,Cas2,No visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Oct-07,Cop,Cop2,C10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,
Oct-07,Cop,Cop2,C35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
Oct-07,Cop,Cop2,C36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,
Oct-07,Cop,Cop2,C9,,2,,,,,,3,,2,,,,2,,,,,,,,2,13,,,,,11,,,,,,,,,,
Oct-07,Cop,Cop2,D20,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Cop,Cop2,D24,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Cop,Cop2,HB,,1,,,,,,,,12,,,,7,,,,,,,,10,,,,,,3,,,,,,,3,,2,
Oct-07,Cop,Cop2,J9,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Oct-07,Cop,Cop2,Phelsuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Oct-07,Cop,Cop2,T16,,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Cop,Cop2,T17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Oct-07,Cop,Cop2,T18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Oct-07,Cop,Cop2,T19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Oct-07,Cop,Cop2,T20,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Oct-07,Cop,Cop2,T25,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Cop,Cop2,T26,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,
Oct-07,Cop,Cop2,T27,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Cop,Cop2,T28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Oct-07,Res,Res2,C3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Res,Res2,C4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Oct-07,Res,Res2,C6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Oct-07,Res,Res2,C9,,,,18,,13,,,,,,,,13,,,,,,,,,,,,,,,,,,4,,,,,,
Oct-07,Res,Res2,HB,,,,9,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,20,,,,,
Oct-07,Res,Res2,J11,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Oct-07,Res,Res2,J15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
Oct-07,Res,Res2,T16,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,
Oct-07,Res,Res2,T18,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,
Oct-07,Res,Res2,T27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Oct-07,Res,Res2,T29,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Res,Res2,T30,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,
Oct-07,Res,Res2,Xylocopa,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,
Oct-07,Tea,Tea2,C14,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Tea,Tea2,C4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Oct-07,Tea,Tea2,C6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Tea,Tea2,C9,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Tea,Tea2,HB,,,,,28,,,,,8,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Oct-07,Tea,Tea2,T16,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Tea,Tea2,T19,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Tro,Tro2,C10,,,,,2,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
Oct-07,Tro,Tro2,C12,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Oct-07,Tro,Tro2,C16,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Oct-07,Tro,Tro2,C18,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Tro,Tro2,C3,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Oct-07,Tro,Tro2,C9,,,,,,,,,,,,,,,,,,,,,,,1,,38,,,,,,,,,,,,,
Oct-07,Tro,Tro2,HB,,,,,27,,,,,,,,,,,,,,,,,3,1,,27,,,,,,,,,,,,,
Oct-07,Tro,Tro2,Sunbird,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Oct-07,Tro,Tro2,T16,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Tro,Tro2,T42,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-07,Tro,Tro2,Xylocopa,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Ber,Ber3,C10,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,
Nov-07,Ber,Ber3,C12,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,
Nov-07,Ber,Ber3,C16,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Nov-07,Ber,Ber3,C3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Ber,Ber3,C39,,,,1,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,,,
Nov-07,Ber,Ber3,C4,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Ber,Ber3,C41,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Ber,Ber3,C42,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Nov-07,Ber,Ber3,C9,,,,,,3,,,,,,,,3,,,,,,,,,,,30,,,,,,,,,,,,,
Nov-07,Ber,Ber3,HB,,,,11,,7,,,,,,,,,,,,,,,,22,,,41,,,3,,,,,,,,,,
Nov-07,Ber,Ber3,Phelsuma,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
Nov-07,Ber,Ber3,Sunbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Nov-07,Ber,Ber3,T28,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Nov-07,Ber,Ber3,T29,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Nov-07,Ber,Ber3,No visitors,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Nov-07,Cas,Cas3,C10,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cas,Cas3,C14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,
Nov-07,Cas,Cas3,C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Nov-07,Cas,Cas3,C44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
Nov-07,Cas,Cas3,C46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,,,
Nov-07,Cas,Cas3,C9,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,42,,,,,,,,
Nov-07,Cas,Cas3,D56,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cas,Cas3,HB,,,,10,,11,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Nov-07,Cas,Cas3,J20,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cas,Cas3,Sunbird,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cas,Cas3,T16,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cas,Cas3,T18,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cop,Cop3,C10,,,1,,,,,,,,,,,5,,,,,,,,,,,2,,,,,,,,,2,2,,,
Nov-07,Cop,Cop3,C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Nov-07,Cop,Cop3,C3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,11,,,
Nov-07,Cop,Cop3,C35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Nov-07,Cop,Cop3,C36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Nov-07,Cop,Cop3,C9,,,,,,2,,,,19,,,,5,,,5,,,,,1,,,9,,,,,,,,,5,,,,
Nov-07,Cop,Cop3,Fody,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cop,Cop3,HB,,,,,,1,,,,16,,,,7,,,1,,,,,8,,,1,,,1,,,,,,,,,,
Nov-07,Cop,Cop3,Phelsuma,,,,,,,,,,,,,,,,,9,,,,,,,,4,,,,,,,,,,,,,
Nov-07,Cop,Cop3,Polistes,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cop,Cop3,Skink,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cop,Cop3,Sunbird,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,9,,,,
Nov-07,Cop,Cop3,T16,,4,,,,,,,,5,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,
Nov-07,Cop,Cop3,T17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Nov-07,Cop,Cop3,T18,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cop,Cop3,T26,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cop,Cop3,T27,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cop,Cop3,T28,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cop,Cop3,T29,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cop,Cop3,T30,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Cop,Cop3,T5,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Nov-07,Cop,Cop3,No visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Nov-07,Res,Res3,C39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Nov-07,Res,Res3,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
Nov-07,Res,Res3,C40,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,
Nov-07,Res,Res3,C9,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,,
Nov-07,Res,Res3,HB,,,,,,12,,,,,,,,,,,,,,,,30,,,,,,,,,,,53,,,,,
Nov-07,Res,Res3,Polistes,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Res,Res3,T16,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
Nov-07,Res,Res3,T18,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Res,Res3,T19,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Res,Res3,T26,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,
Nov-07,Res,Res3,T27,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Res,Res3,T5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Res,Res3,Xylocopa,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,2,,,,,
Nov-07,Tea,Tea3,C16,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Nov-07,Tea,Tea3,C3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
Nov-07,Tea,Tea3,C35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Nov-07,Tea,Tea3,C39,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Tea,Tea3,C4,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Nov-07,Tea,Tea3,C45,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,
Nov-07,Tea,Tea3,C9,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Tea,Tea3,D56,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Tea,Tea3,HB,,,,,3,22,,,,,,,,,,,,,,,,10,,1,5,,,,,,,,,,,,,
Nov-07,Tea,Tea3,Phelsuma,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Nov-07,Tea,Tea3,Sunbird,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Tea,Tea3,T16,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Tea,Tea3,T31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Nov-07,Tea,Tea3,No visitors,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Nov-07,Tro,Tro3,C10,,,,,,,,,,,,,,,,,,,,,,,4,,14,,,,,,,,,,3,,,
Nov-07,Tro,Tro3,C16,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Nov-07,Tro,Tro3,C3,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,
Nov-07,Tro,Tro3,C4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Tro,Tro3,C40,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Nov-07,Tro,Tro3,C48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Nov-07,Tro,Tro3,C6,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
