Species names,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Ardisia crenate,Badula insularis,Badula platiphylla,Bertiera zaluzania,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Claoxylon linostachys ssp brachyphyllum,Clidemia hirta,Coffea macrocarpa,Coffea mauritiana,Cordemoya integrifolia,Croton fothergillifolius,Croton grangeroides,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var diphyllum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Grangeria borbonica,Harungana madagascariensis,Helichrysum proteoides,Homalanthus populifolius,Labourdonnaisia callophylloides,Molinaea alternifolia,Molinaea macrantha,Myonima violacea var ovata,Ochna mauritiana,Olea lancea,Ossaea marginata,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Psathura terniflora,Psiadia terebinthina,Psidium cattleianum,Rubus alcefolius,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium petrinese,Tabernaemontana persicarifolia,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Wikstroemia indica,Xylopia lamarckii ,,,,,,,,,
Cratopus psittacus Faimaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039227053,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Cryptocephalinae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023768116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Dasytinae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Dioxyna sororcula Wiedemann,0,0,0,0,0,0,0,0,0,0,0.000355556,0,0,0,0,0.017246377,0,0,0.033236715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008623189,0,0,0,0,0,0,0,0,0,0,0.600626388,0.052811594,0,0,0,0,0,0,0,0,0,0,0.002608696,0,0,0,0,0,0,,,,,,,,,
Diptera sp 1,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Diptera sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000830918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Dysauxes florida Joan.,0.005024155,0,0.135436853,0,0,0,0.002247492,0,0,0,0,0,0,0,0,0.022995169,0.042781658,0,0,0,0.000144928,0,0,0.026811347,0,0,0,0.019803312,0,0,0,0.012676328,0,0.143318841,0,0,0.02210628,0,0.474570049,0,0,0,0.005178121,0,0.000869565,1.389210302,0,0,0.102104348,0.082650104,0,0,0,0,0,0,0,0.015562055,0,0,0,0,0,0,,,,,,,,,
Episyrphus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012463768,0.00173913,0.000144928,0.000231884,0,0.013636991,0,0,0,0,0,0.04515942,0,0,0,0,0.012072464,0,0.01657971,0,0,0,0,0,0,0,0,0.010750403,0,0,0.018908213,0,0,0.02942029,0,0,0.001971014,0,0,0,0,0,0,0,0,0,,,,,,,,,
Episyrphus sp. near circularis Hull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013369565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000985507,0,0,0,0,0,0,0,0,0,,,,,,,,,
Eristalinus flaveolus Bigot,0,0.105764895,0.328645636,0,0,0,0,0,0.001342169,0,0,0,0,0,0,0,0,0,0,0,9.66184E-05,0,0,0.00489533,0,0,0,0,0,0,0,0.001545894,0,0,0,0,0.01657971,0,0,0,0,0,0,0,0,0,0.251483782,0,0.033089372,0,0,0.047072464,0,0.017060041,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Eumolpinae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00821256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Eumolpinae sp 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002937198,0,0,0,0,0,0,0,0.002120083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Eurytonidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005024155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Fannia pusio Wiedemann,0,0,0.055768116,0,0,0,0,0,0,0,0,0,0,0,0,0.006570048,0,0,0.000830918,0,0,0,0,0,0,0,0,0.006956522,0,0,0,0,0,0.018532609,0.15532445,0,0.092846377,0,0,0,0,0,0,0,0,0,0,0,1.721911984,0,0,0.161811595,0,0,0,0.000952381,0,0.001878261,0,0,0,0,0,0,,,,,,,,,
Gelechioidea sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Gelechioidea sp 2,0,0,0.061964573,0,0,0,0,0,0,0,0,0,0,0,0,0.044816053,0,0,0,0,0,0,0,0.018881988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02546148,0,0,0.04537971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Gelechioidea sp 3,0,0,0.061964573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002447665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Goniurellia or Dectodes sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136334651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Graphomya maculata Scopoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000830918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Henotesia narcissus Fabricius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83092E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171794617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Hippotion eson Cramer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023768116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Homoneura sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001707366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Homoneura sp 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04537971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Hydrotaea fuliginosa Robineau-Desvoidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004599034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Ischiodon aegyptius Wiedemann,0,0,0,0,0,0,0.001304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000289855,0,0,0.006293996,0,0,0,0,0,0,0,0,0,0,0,0,0.01657971,0,0,0.032463768,0,0,0,0,0,0,0.181068323,0,0,0,0,0.05884058,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Lecithoceridae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026739131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161256039,0,0,0.04537971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Leptotes pirithous Linnaeus,0,0,0,0,0,0,0,0,0,0.018219461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019895652,0,0.011884058,0,0,0,0,0,0,0.048376812,0,0,0,0,0,0.019613527,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Limnophora quaterna Loew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04537971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Lygaeidae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Lygaeidae sp 3,0,0,0.037178744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Lygaeidae sp 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.043556936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Lygistorrhina sp,0,0,0,0,0,0,0,0,0,0,0.001422222,0,0,0,0.001086957,0.055728088,0,0,0.002492754,0,0,0,0,0.062170694,0,0,0,0.008198758,0,0,0,0,0,0,0,0,0.03315942,0,0.00679089,0,0,0,0,0,0,0.20963285,0,0,0,0.455608696,0,0.078454107,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Macroglossum milvus Boisduval,0,0,0.04647343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Mauritiborium undulatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008309179,0,0,0,0,0.014685991,0,0,0,0,0,0,0,0,0,0,0.00279671,0,0,0,0,0,0,0,0,0,0,0.117486542,0,0,0,0,0,0.082376812,0,0,0,0,0,0.001956522,0,0,0,0,0,0,,,,,,,,,
Melanagromyza sojae Zehntner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014181159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Melanostoma annulipes Macquart,0,0,0.689338855,0,0,0,0,0,0,0,0,0,0,0,0,0.007520976,0,0,0.00541903,0,4.83092E-05,0,0,0.023497585,0,0,0,0,0,0,0,0,0,0,0.025077164,0,0,0,0,0.023188406,0,0,0,0,0,0.207329193,0,0,0.233086693,0,0,0,0,0,0,0,0,0.004098024,0,0,0,0,0,0,,,,,,,,,
Melanostoma bituberculatum Loew,0,0,0.162657005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005874396,0,0,0,0,0.001722567,0,0,0,0,0,0,0,0,0,0,0.037101449,0,0,0,0,0,0.038701449,0,0,0,0,0,0.05884058,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Miridae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015357718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Mordellidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034554865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Mordellidae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11768116,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Mordellidae sp 3,0,0,0.021449275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Musca confiscata Speiser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023536232,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Musca domestica Linnaeus ,0,0,0.767915238,0,0,0,0.001204013,0,0,0,0,0,0,0,0,0.019337753,0.017669737,0,0.014125604,0,0,0.00026087,0,0.026434783,0,0,0,0,0,0.071304348,0,0.001545894,0,0.081190476,0.042705314,0,0.032054106,0,0,0.023188406,0,0,0.011304348,0,0,0.038701449,0,0,0.43677971,0.216956522,0,0.949294691,0,0.099516908,0,0.003522409,0,0,0,0,0,0,0,0,,,,,,,,,
Nacoleia sp1,0,0.825240898,0,0,0,0,0,0,0,0,0,0,0.009963768,0.001610306,0,0.039307568,0.00089955,0,0,0,0.000193237,0,0,0.007342995,0,0,0,0.000289855,0,0.450645023,0,0.001590062,0,0,0.000932237,0,0,0,0,0.061835749,0,0,0,0,0,0.628898551,0,0,0.018908213,0.03615942,0,0.039227053,0,0.022888889,0,0,0.005503663,0.00173913,0,0,0,0.003395445,0,0,,,,,,,,,
Nacoleia sp2,0,0.412071021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006570048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001091219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2994755,0,0,0.028362319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nitidulidae sp 1,0,0,0,0,0,0.000405797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nyctemera insulare Boisduval ,0,0,0,0,0,0,0.00048913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Ophyra capensis Wiedemann,0,0,0.04647343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022028986,0,0,0,0,0,0,0,0,0,0,0,0,0.088109317,0,0,0,0,0,0.009043478,0,0,0.161256039,0,0,0.158828986,0,0,0.5884058,0,0,0,0.000952381,0,0,0,0,0,0,0,0,,,,,,,,,
Orchisia costata Meigen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002492754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161256039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Ornidia obesa Fabricius,0,0,0,0,0,0,0,0,0.000184453,0,0,0,0,0,0,0,0,0.000289855,0,0,0,0,0,0.006293996,0,0,0,0.000966184,0,0,0,0.000185507,0,0.018532609,0,0,0,0,0,0,0,0,0,0,0,0.024188406,0,0,0,0,0,0,0,0,0,0.001111111,0,0,0,0,0,0,0,0,,,,,,,,,
Orthellia albigena Stein,0,0,0.08805492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263918841,0,0,0.052956522,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Pachycerina crinicornis Thomson,0.015072464,0.317294686,0.160222682,0,0,0,0.001304348,0,0,0.003188406,0,0,0,0,0,0.045990338,0,0,0.022292919,0,9.66184E-05,0,0,0.006293996,0,0,0,0.003768116,0,0,0,0,0,0.043242754,0.052888889,0.010144928,0,0,0.002971015,0.026666667,0,0,0,0,0,0.39968461,0.105623188,0,0.118851622,0.01807971,0,1.73579711,0,0,0,0,0,0.009878261,0,0,0,0,0,0,,,,,,,,,
Palexorista sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003135705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Panara naso Fabricius,0,0,0.213777778,0,0,0,0,0,0,0.050566013,0,0,0,0,0,0.002898551,0,0,0,0,0,0,0,0.002753623,0,0,0,0,0,0.021391304,0.003381643,0,0,0.018532609,0,0,0,0,0.035652174,0.003478261,0,0,0,0,0,0.048376812,0,0,0,0.064283414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
