"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Pollen_per_flower","Eigenval"
"Gerardia auriculata","Lamiales","Orobanchaceae","Agalinis","Agalinis auriculata","Hermaphrodite","self_compatible","high",95,"Campanulate","zygomorphic",10,30,12.1,13,11,215.55,"herb","Short lived",0.45,"no",0,29150,0.0125318354155296
"Gerardia purpurea","Lamiales","Orobanchaceae","Agalinis","Agalinis purpurea","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",100,60,16.5,18.1,15,224,"herb","Short lived",0.45,"yes",0.04,91626.51381,0.0126608583809777
"Gerardia tenuifolia","Lamiales","Orobanchaceae","Agalinis","Agalinis tenuifolia","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",100,20,10.5,12.5,11,87,"herb","Short lived",9.1,"no",0,203103.78281,0.0125687458277706
"Agauria salicifolia","Ericales","Ericaceae","Agarista","Agarista salicifolia","Hermaphrodite","self_compatible","low",12.34165,"Tube","actinomorphic",2000,10,4.5,8.5,7,7,"tree","Perennial",10.45,"yes",0.9,63054.8084833333,0.00594064936890016
"Ageratum conyzoides","Asterales","Asteraceae","Ageratum","Ageratum conyzoides","Hermaphrodite","self_compatible","medium",52,"Capitulum","actinomorphic",50,6.5,6.5,3,1,40,"herb","Short lived",0.55,"yes",4.2,92820.543405,1
"Agrimonia pilosa","Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","Hermaphrodite","self_compatible","low",14.36315,"Open","actinomorphic",30,18,7.5,1,3,2,"herb","Perennial",0.75,"no",0,58553.978875,0.00252396603699508
"Agrimonia striata","Rosales","Rosaceae","Agrimonia","Agrimonia striata","Hermaphrodite","self_compatible","low",14.53765,"Open","actinomorphic",60,18,7.2,0.6,3,1,"herb","Perennial",0.75,"no",0,31691.472375,0.00247450440085289
"Ajuga forrestii","Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","Hermaphrodite","self_compatible","low",16.7864666666667,"Tube","zygomorphic",80,24,9,8.1,6,4,"herb","Short lived",0.18,"yes",1.3083825,8128,0.0147406675160089
"Ajuga reptans","Lamiales","Lamiaceae","Ajuga","Ajuga reptans","Dioecious","self_compatible","none",0,"Papilionaceous","zygomorphic",60,30,11.5,15.5,10,4,"herb","Perennial",0.35,"yes",1.12928,8128,0.0148440161494698
"Akebia quinata","Ranunculales","Lardizabalaceae","Akebia","Akebia quinata","Monoecious","monoecious","none",0,"Open","actinomorphic",50,45,15,2.5,3,131.11661,"vine","Perennial",6,"no",0,514869.030666667,0.000323125086772828
"Alangium platanifolium","Cornales","Cornaceae","Alangium","Alangium platanifolium","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,15,15,10.5,12,31.12,"shrub","Perennial",3,"yes",2.08308,27300,0.00459162037428641
"Albizzia julibrissin","Fabales","Fabaceae","Albizzia","Albizia julibrissin","Hermaphrodite","self_incompatible","low",13,"Brush","actinomorphic",20000,45,2,4,14,10,"tree","Perennial",9,"yes",15,422862.62325,0.00269193760896623
"Allium ampeloprasum","Asparagales","Amaryllidaceae","Allium","Allium ampeloprasum","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",250,50,6,5,35.5,6,"herb","Perennial",1.25,"yes",0.61,92229.6273333334,0.000239006341460176
"Allium atrosanguineum","Asparagales","Amaryllidaceae","Allium","Allium atrosanguineum","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",50,10,7.61366666666667,7.52155714285714,5.25,6,"herb","Perennial",0.3,"yes",0.61,45701.1752,0.000230729010051318
"Allium cyathophorum","Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",750,17.5,3.5,4.81772380952381,3.5,5.1,"herb","Perennial",0.225,"yes",0.61,58795,0.000221151157820996
"Allium macranthum","Asparagales","Amaryllidaceae","Allium","Allium macranthum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,140,20,25,14,8,"herb","Perennial",0.4,"yes",0.61,1118468.89825,0.00024009840787954
"Allium wallichii","Asparagales","Amaryllidaceae","Allium","Allium wallichii","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,80,18,5,9,6,"herb","Perennial",0.525,"yes",0.61,41851,0.000218385125572986
"Alocasia odora","Alismatales","Arecaceae","Alocasia","Alocasia odora","Hermaphrodite","self_compatible","low",13,"Spike","actinomorphic",360,150,2,1,1,6,"herb","Perennial",1.25,"no",0,18910,5.76113280303844e-05
"Alternanthera echinocephala","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera echinocephala","Hermaphrodite","self_compatible","low",1.5,"Campanulate","actinomorphic",5000,30,10,8,0.2,1,"shrub","Perennial",1.25,"yes",0.28,2506,0.00369034549573577
"Alternanthera filifolia","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera filifolia","Hermaphrodite","self_compatible","low",10.5646,"Tube","actinomorphic",5000,30,7.3,8.11,0.2,1,"shrub","Perennial",1,"no",0.28,2506,0.00369923479721865
"Amaranthus spinosus","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus spinosus","Monoecious","monoecious","none",0,"Open","actinomorphic",1500,10,2,2,2,1,"herb","Short lived",0.6,"no",0,4962,0.00364611204565587
"Ambrosia trifida","Asterales","Asteraceae","Ambrosia","Ambrosia trifida","Monoecious","monoecious","none",0,"Capitulum","actinomorphic",1000,35,2.5,2.5,2,31.12,"herb","Short lived",2.15,"no",0,16875,0.258521224931205
"Ammannia coccinea","Myrtales","Lythraceae","Ammannia","Ammannia coccinea","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",350,15,4.5,4,1.5,21.8967,"herb","Short lived",0.25,"no",0,68919.4175,0.000753798071847943
"Amorpha canescens","Fabales","Fabaceae","Amorpha","Amorpha canescens","Hermaphrodite","self_compatible","medium",52.5,"Tube","zygomorphic",3000,15,2.25,4.5,2.5,2,"shrub","Perennial",0.5,"yes",1.43295045,33614,0.00286621150754984
"Orchis morio","Asparagales","Orchidaceae","Anacamptis","Anacamptis morio","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",30,75,10,20,17.8375666666667,3500,"herb","Perennial",0.2,"no",0,13,0.000262033663528263
"Helichrysum bellidioides","Asterales","Asteraceae","Anaphalioides","Anaphalioides bellidioides","Hermaphrodite","self_incompatible","none",30.12,"Capitulum","actinomorphic",50,17.5,17.5,6,3.7,171,"herb","Perennial",0.15,"yes",2.635761,105200,0.0966100992195843
"Anchusa azurea","Boraginales","Boraginaceae","Anchusa","Anchusa azurea","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,50,11.5,8,4.5,4,"herb","Perennial",0.85,"yes",0.65703,24360,0.00943296659443381
"Andromeda glaucophylla","Ericales","Ericaceae","Andromeda","Andromeda glaucophylla","Hermaphrodite","partially_self_compatible","low",40,"Campanulate","actinomorphic",800,20,4.5,4.1,2.45,47,"shrub","Perennial",0.35,"yes",0.64,64199.6794873334,0.00597258299612081
"Andryala integrifolia","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,14.5,14.5,4,10,75,"herb","Perennial",0.46,"no",0,412435.916239762,0.0415172166957389
"Anemone demissa","Ranunculales","Ranunculaceae","Anemone","Anemone demissa","Hermaphrodite","self_compatible","low",14.545,"Open","actinomorphic",15,150,52,4.1,1.9,1,"herb","Perennial",0.335,"no",0,195853,0.000476581127770932
"Hepatica acutiloba","Ranunculales","Ranunculaceae","Anemone","Anemone hepatica","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",15,25,25,1,2,15,"herb","Perennial",0.125,"no",0,159580.318921429,0.000457586031724834
"Anemone rivularis","Ranunculales","Ranunculaceae","Anemone","Anemone rivularis","Hermaphrodite","self_compatible","medium",25,"Open","actinomorphic",20,20,20,5,1,100,"herb","Perennial",0.8,"no",0,195853,0.000498803826760796
"Anemone rupestris","Ranunculales","Ranunculaceae","Anemone","Anemone rupestris","Hermaphrodite","self_compatible","low",13.97695,"Open","actinomorphic",15,25,25,7.1,3.5,1,"herb","Perennial",0.5,"no",0,195853,0.000509656961550842
"Anemonella thalictroides","Ranunculales","Ranunculaceae","Anemonella","Anemonella thalictroides","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,18.5,18.5,5,0.5,1,"herb","Perennial",0.2,"no",0,10053,0.000359127734063222
"Anisotome aromatica","Apiales","Apiaceae","Anisotome","Anisotome aromatica","Dioecious","dioecious","none",0,"Open","actinomorphic",200,15,4,1,0.5,2,"herb","Perennial",0.25,"no",0,16560,0.0183183842120621
"Anisotome flexuosus","Apiales","Apiaceae","Anisotome","Anisotome flexuosa","Dioecious","dioecious","none",0,"Open","actinomorphic",500,15,4,1,0.5,2,"herb","Perennial",0.25,"no",0,16560,0.0185946032677185
"Anthemis cotula","Asterales","Asteraceae","Anthemis","Anthemis cotula","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",10,21,3,9.5,3,115,"herb","Short lived",0.35,"no",0,138784.213,0.0610347312767744
"Antidesma madagascariense","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,10,2,2,0.5,2,"tree","Perennial",9.1,"no",0,447042.292,0.00174592730689956
"Antirhea borbonica","Gentianales","Rubiaceae","Antirhea","Antirhea borbonica","Hermaphrodite","self_compatible","low",13.630625,"Tube","actinomorphic",2000,10,0.75,5.1,2.5,2,"shrub","Perennial",4,"yes",3.83543613333334,3277.5,0.00765058719216171
"Aphloia theiformis","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","Hermaphrodite","self_compatible","low",8.95155,"Brush","actinomorphic",2000,80,20,9.1,0.1,6,"tree","Perennial",5,"yes",2.6,450833.516916667,0.00103521198183675
"Aquilegia canadensis","Ranunculales","Ranunculaceae","Aquilegia","Aquilegia canadensis","Hermaphrodite","self_compatible","none",48,"Open","actinomorphic",15,24.1,24.1,21.1,12.1,118.6,"herb","Perennial",0.525,"yes",3.5,72346,0.000351288231518745
"Arachis microsperma","Fabales","Fabaceae","Arachis","Arachis microsperma","Hermaphrodite","self_compatible","low",17.8887,"Papilionaceous","zygomorphic",5,16,16,61.5,40,4,"herb","Perennial",1.156825,"no",0,3594.5,0.00272566787787253
"Arctium lappa","Asterales","Asteraceae","Arctium","Arctium lappa","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",100,28.5,28.5,14.8078875,20,40,"herb","Short lived",1.6,"no",0,3052,0.0378325188967467
"Arctium minus","Asterales","Asteraceae","Arctium","Arctium minus","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",25,60,60,40,15,30,"herb","Short lived",1,"yes",6.66549933333333,3052,0.0380798909157445
"Ardisia pusilla","Ericales","Primulaceae","Ardisia","Ardisia pusilla","Hermaphrodite","self_compatible","low",15.95225,"Open","actinomorphic",10,15,3.5,1,2.5,5.5,"shrub","Perennial",0.23,"no",0,42544.76496,0.00523334230577234
"Ardisia quinquegona","Ericales","Primulaceae","Ardisia","Ardisia quinquegona","Hermaphrodite","self_compatible","low",9.30265,"Open","actinomorphic",5000,15,3,1.5,2.5,5,"shrub","Perennial",3.1,"no",0,46992.2431,0.00523334230577235
"Ardisia sieboldii","Ericales","Primulaceae","Ardisia","Ardisia sieboldii","Hermaphrodite","self_compatible","low",0.05,"Open","actinomorphic",50000,100,15,2,10.5,6,"tree","Perennial",8,"no",0,485121.10875,0.00540818121297842
"Arenaria pseudofrigida","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria pseudofrigida","Hermaphrodite","self_compatible","low",15.3325,"Open","actinomorphic",50,30,10.1,7,3,15,"shrub","Perennial",0.035,"no",0,600,0.00392289339891921
"Arenaria yunnanensis","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria yunnanensis","Hermaphrodite","self_compatible","medium",60.93595,"Open","actinomorphic",50,16,16,7.79910833333333,6.5,15,"herb","Short lived",0.225,"no",0,600,0.00393147971338269
"Arisaema triphyllum","Alismatales","Araceae","Arisaema","Arisaema triphyllum","Dioecious","dioecious","none",0,"Open","zygomorphic",50,60,60,120,1,5,"herb","Perennial",0.45,"no",0,34299,7.29119747852955e-05
"Armeria velutina","Caryophyllales","Plumbaginaceae","Armeria","Armeria velutina","Hermaphrodite","self_compatible","low",19.37255,"Open","actinomorphic",250,35,7,2,0.1,1,"herb","Perennial",0.4,"yes",0.25,979,0.00338741751344544
"Cacalia tuberosa","Asterales","Asteraceae","Arnoglossum","Arnoglossum plantagineum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",200,15,15,10,9,6,"herb","Perennial",0.8,"no",0,242027.235004762,0.0554995467249068
"Asclepias incarnata","Gentianales","Apocynaceae","Asclepias","Asclepias incarnata","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",3500,40,5.1,10,0.1,58,"herb","Perennial",1.05,"yes",0.14,193440.5513,0.00743182655654598
"Asclepias sullivantii","Gentianales","Apocynaceae","Asclepias","Asclepias sullivantii","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",250,40,2.4,5.8,0.1,60,"herb","Perennial",0.9,"yes",0.21,206326.152283333,0.00742704114943232
"Asclepias syriaca","Gentianales","Apocynaceae","Asclepias","Asclepias syriaca","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",400,40,4.5,4.5,0.1,208,"herb","Perennial",1.35,"yes",1.9,2237335.68658333,0.00747881012383801
"Asclepias tuberosa","Gentianales","Apocynaceae","Asclepias","Asclepias tuberosa","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",1000,40,6.5,8,0.1,70,"herb","Perennial",0.45,"yes",0.29,173668.25175,0.00758391831756266
"Asclepias verticillata","Gentianales","Apocynaceae","Asclepias","Asclepias verticillata","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",80,40,5.5,9,0.1,48,"herb","Perennial",0.3,"yes",2,127356.69875,0.00744651010717225
"Asparagus officinalis","Asparagales","Asparagaceae","Asparagus","Asparagus officinalis","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",2000,2.6,2.6,4.5,0.5,5,"vine","Perennial",0.55,"yes",0.935,272201.26437381,0.000249174106339498
"Asphodelus fistulosus","Asparagales","Asphodelaceae","Asphodelus","Asphodelus fistulosus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",500,20,8.5,1.5,5.5,6,"herb","Short lived",0.4,"yes",1.78449015,2488,0.000216153981938304
"Aster oreophilus","Asterales","Asteraceae","Aster","Aster oreophilus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,29.1,29.1,10.1556416666667,5,75,"herb","Perennial",0.4,"yes",0.368441055555556,258850,0.0675351182621711
"Astragalus pullus","Fabales","Fabaceae","Astragalus","Astragalus pullus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,30,5,10,10,16,"shrub","Perennial",0.15,"yes",1.98283,17822,0.00309626920065236
"Azorina vidalii","Asterales","Campanulaceae","Azorina","Azorina vidalii","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",50,50,11,24,15,228.8339375,"shrub","Perennial",1.2,"yes",9,1217259.20616667,0.0250396316395316
"Bacopa monniera","Lamiales","Plantaginaceae","Bacopa","Bacopa monnieri","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",10,7.5,7.5,10,4.1,178,"herb","Perennial",0.25,"no",0,57312,0.010474098663446
"Badula insularis","Ericales","Primulaceae","Badula","Badula insularis","Hermaphrodite","partially_self_compatible","low",8.253175,"Open","actinomorphic",300,30,5.47466666666667,3.2373,0.1,4,"tree","Perennial",3.5,"no",0,108280.769516667,0.0053362111426305
"Badula platiphylla","Ericales","Primulaceae","Badula","Badula platyphylla","Hermaphrodite","self_compatible","low",8.195025,"Open","actinomorphic",300,30,5.91446666666667,3.20125,0.1,4,"shrub","Perennial",1.5,"no",0,45362.4183333333,0.005428245125386
"Bakerella hoyifolia","Santalales","Loranthaceae","Bakerella","Bakerella hoyifolia","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",400,50,4.1,24.5,25,8,"herb","Perennial",0.75,"yes",10.1,106642.145,0.00335997439294432
"Barringtonia racemosa","Ericales","Lecythidaceae","Barringtonia","Barringtonia racemosa","Hermaphrodite","self_compatible","low",11.3769916666667,"Brush","actinomorphic",2000,120,20,24.3583,41,5,"tree","Perennial",6,"yes",3.5,50000,0.00517488172380543
"Bartsia alpina","Lamiales","Orobanchaceae","Bartsia","Bartsia alpina","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",10,35,5,17.5,17,94,"herb","Perennial",0.23,"yes",0.99,47000,0.0120795291267935
"Bastardia viscosa","Malvales","Malvaceae","Bastardia","Bastardia viscosa","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",20,7.1,7.1,2,1,5,"herb","Perennial",1,"yes",0.85,16776.64425,0.00134292546720444
"Befaria glauca","Ericales","Ericaceae","Bejaria","Bejaria aestuans","Hermaphrodite","self_compatible","low",11.8354583333333,"Campanulate","actinomorphic",100,100,35,25,28.1,100,"tree","Perennial",7.1,"yes",9.7,236353.907,0.00613010460563588
"Bertiera zaluzania","Gentianales","Rubiaceae","Bertiera","Bertiera zaluzania","Dioecious","dioecious","none",0,"Tube","actinomorphic",300,75,15,15,15,100,"shrub","Perennial",1,"yes",2.4,81575,0.00768618821567876
"Beta maritima","Caryophyllales","Chenopodiaceae","Beta","Beta vulgaris","Dioecious","partially_self_compatible","low",13,"Tube","actinomorphic",150,10,2.5,4,2.01,1,"herb","Perennial",0.5,"no",0,150000,0.0037053548265903
"Bidens aristosa","Asterales","Asteraceae","Bidens","Bidens aristosa","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,60,60,24.1,6,56.5,"herb","Short lived",0.75,"yes",0.012,291751.992416667,0.140615210414319
"Bidens bipinnata","Asterales","Asteraceae","Bidens","Bidens bipinnata","Hermaphrodite","self_compatible","low",22.44575,"Capitulum","actinomorphic",5,7.5,7.5,2.1,2,19.5,"herb","Short lived",0.3,"yes",0.012,17374.5,0.159762438331652
"Bidens connata","Asterales","Asteraceae","Bidens","Bidens connata","Hermaphrodite","self_compatible","high",100,"Capitulum","actinomorphic",15,14,14,3,6,70,"herb","Short lived",0.8,"yes",0.012,110715.723975,0.126598577262123
"Bidens laevis","Asterales","Asteraceae","Bidens","Bidens laevis","Hermaphrodite","self_incompatible","low",8.46664999999999,"Capitulum","actinomorphic",3,40,40,10,6,80,"herb","Perennial",0.5,"yes",0.012,1195447.25488577,0.149369114969654
"Bidens pilosa","Asterales","Asteraceae","Bidens","Bidens pilosa","Hermaphrodite","self_compatible","high",67,"Capitulum","actinomorphic",5,11,11,8,6,50,"herb","Short lived",0.85,"yes",0.012,58644,0.159980978754046
"Psoralea bituminosa","Fabales","Fabaceae","Bituminaria","Bituminaria bituminosa","Hermaphrodite","self_compatible","low",21.1362,"Tube","zygomorphic",200,10,2.5,11.5,9,1,"herb","Short lived",0.275,"yes",0.24,2138,0.00302011302509044
"Blainvillea dichotoma","Asterales","Asteraceae","Blainvillea","Blainvillea dichotoma","Hermaphrodite","self_compatible","medium",56.1401,"Capitulum","actinomorphic",15,20,5.1,2.1,0.5,10,"herb","Short lived",0.5,"no",0,92367.5189483333,0.167305314646862
"Blastus cochinchinensis","Myrtales","Melastomataceae","Blastus","Blastus cochinchinensis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",150,35,8,3,10,100,"shrub","Perennial",2,"no",0,330198.383833333,0.000961607387287446
"Arabis laevigata","Brassicales","Brassicaceae","Boechera","Boechera stricta","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",35,10,2.1,1.1,0.175,163,"herb","Short lived",0.575,"yes",0.36,111693.224415,0.00142417452668923
"Boerhaavia caribaea","Boraginales","Nyctaginaceae","Boerhaavia","Boerhavia caribaea","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",500,5,0.5,0.5,2.65,1,"herb","Perennial",0.9,"yes",0.36,79.2,0.00431400045697188
"Boerhaavia erecta","Caryophyllales","Nyctaginaceae","Boerhavia","Boerhavia erecta","Hermaphrodite","self_compatible","medium",53.9802666666667,"Campanulate","actinomorphic",50,10,2,2,1.625,1,"herb","Short lived",0.5,"no",0,79.2,0.00427154117426891
"Commicarpus tuberosus","Fabales","Nyctaginaceae","Boerhavia","Boerhavia tuberosa","Hermaphrodite","self_compatible","low",24.1518,"Campanulate","actinomorphic",10,5,0.5,0.5,2.65,1,"herb","Perennial",0.9,"yes",5.7304603,79.2,0.00418321263410965
"Bonnetia sessilis","Malpighiales","Bonnetiaceae","Bonnetia","Bonnetia sessilis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",100,60,60,15.6,15,100,"shrub","Perennial",1.5,"no",0,212823.02,0.00195864915804742
"Bougainvillea_spinosa","Caryophyllales","Nyctaginaceae","Bougainvillea","Bougainvillea spinosa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,28,14,10,1,1,"shrub","Perennial",5,"yes",1.41347416666667,13886,0.00417347089739775
"Senecio bellidioides","Asterales","Asteraceae","Brachyglottis","Brachyglottis bellidioides","Hermaphrodite","partially_self_compatible","medium",35,"Capitulum","actinomorphic",1,30,30,6.85,5,25,"herb","Perennial",0.05,"yes",6.259333,57555,0.0551156350776144
"Brachycome scapigera","Asterales","Asteraceae","Brachyscome","Brachyscome scapigera","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,12,12,4.1,2,90,"herb","Perennial",0.2,"yes",1.5796875,494500,0.0713644029135259
"Brachyome sinclairii","Asterales","Asteraceae","Brachyscome","Brachyscome sinclairii","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,20,20,2.5,2,60,"herb","Perennial",0.09,"yes",1.6167735,159250,0.0680453531479403
