Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,sex_or_flower_type,breeding_system,autonomous_selfing_level,compatibility,compatibility_genus,info_level,asexual_reproduction,asexual_reproduction_type,agamospermy/apomixis (yes/no),flower_colour ,flower_morphology,flower_pollinator_morphology,flower_symmetry,corolla_diameter_mean_mm,corolla_diameter_min_mm,corolla_diameter_max_mm,corolla_length_mean_mm,corolla_length_min_mm,corolla_length_max_mm,tube_length_mm,life_form,lifespan,plant_height_min_m,plant_height_max_m,plant_height_mean_m,references,reference_journal,doi,doi,doi,doi,doi,type_of_proxy_seed _or_fruit,open_pollination_percentage,open_pollination_n,hand_poll_outcrossing_percentage,hand_poll_outcrossing_percentage_n,hand_poll_self_percentage,hand_poll_self_n,spontaneus_selfing_percentage,spontaneus_selfing_n,geitonogamy_percentage,geitonogamy_n,apomixis_percentage,apomixis_n,intramorph_percentage,intramorph_n,stamen_length_mm,stamen_length_min_mm,stamen_length_max_mm,style_length_mm,style_length_min_mm,style_length_max_mm,ovary_length_mm,ovary_min_mm,ovary_max_mm,stigma_length_mm,stigma_min_mm,stigma_max_mm,pistil_length_mm,pistil_min_mm,pistil_max_mm,inflorescence_form,inflorescence_arrangement,inflorescence_length_mm,inflorescence_width_mm,inflorescence_comment,pollen_anther_mean,pollen_anther_sd,pollen_anther_n,pollen_flower_mean,pollen_flower_sd,pollen_flower_n,pollen_ovule_ratio,ovules_mean,ovules_sd,ovules_n,stamen_mean,anthers_exerted_yes_or_no,anthers_exerted_mm,pistil_mean,stigma_mean,stigma_exerted_yes_or_no,stigma_exerted_mm,flowers_inflorescences_min,flowers_inflorescences_max,flowers_inflorescences_mean,inflorescences_plant_min,inflorescences_plant_max,inflorescences_plant_mean,flower_plant_min,flower_plant_max,flower_plant_mean,flower_lifespan_days,flowering_time_days,nectar_yes_or_no,nectar_ul_day_mean,nectar_ul_day_sd,nectar_ul_day_n,total_nectar_ul_mean,total_nectar_ul_sd,total_nectar_ul_n,sugar_nectar_mg_mean,sugar_nectar_mg_sd,sugar_nectar_mg_n,sugar_concentration_mean,sugar_concentration_sd,sugar_concentration_n,fruit_type,fruit_colour,fruit_length_mm,fruit_width_mm,pollen_polar_length_um_mean,pollen_polar_length_um_min,pollen_polar_length_um_max,pollen_equatorial_length_mean_um ,pollen_equatorial_length_min_um,pollen_equatorial_length_max_um,pollen_polar_equatorial,mean_pollen_tube_growth_um_min,chromosome number,ploidy,location,country,references,reference_journal,doi,doi,doi,doi,doi,
Boraginales,Boraginaceae,Cordia,Cordia leucophlyctis,NA,Cordia leucophlyctis,bisexual,hermaphrodite,,self_incompatible,NA,flower,,NA,,white,campanulate,campanulate,actinomorphic,9.71,NA,NA,7.38,NA,NA,,shrub,perennial,1,2.5,1.75,,,,,,,,fruit,12.4,249,0,51,0,171,0,257,NA,NA,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,,,,,,,,
Boraginales,Apocynaceae,Vallesia,Vallesia glabra,NA,Vallesia glabra,bisexual,hermaphrodite,,NA,NA,flower,,NA,,white,tube,tube,actinomorphic,6,NA,NA,6,NA,NA,,tree,perennial,NA,6,4,traveset 1994,journal: botanical journal of the linnean society,https://doi.org/10.1111/j.1095-8339.1994.tb01929.x,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,traveset 1994,botanical journal of the linnean society,https://doi.org/10.1111/j.1095-8339.1994.tb01929.x,,,,,
Gentianales,Fabaceae,Desmanthus,Desmanthus virgatus,NA,Desmanthus virgatus,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,green,campanulate,brush,actinomorphic,1,0.6,1.4,2.75,1.5,4,2.05,shrub,perennial,0.5,2,1,gwilym 1998,thesis: massey university,,,,,,NA,,,,,,,,,,,,,,,,,,3.2,2,4.4,2,1,2,,,,,,,,,,,,,,,,,,,28,,,10,,,,,,,,,12,20,90,65,,,800,,,,,,,,,,,,,,,,,,,,38.5,31,46,43.5,37,50,0.89,,,,galapagos,ecuador,gwilym 1998,thesis massey university,,,,,,
Fabales,Rubiaceae,Chiococca,Chiococca alba,NA,Chiococca alba,bisexual,hermaphrodite,,self_incompatible,NA,flower,yes,NA,,yellow,campanulate,campanulate,actinomorphic,5,NA,NA,5,NA,NA,NA,shrub,perennial,,3,1.5,"cardoso et al., 2008",brazilian journal of botany,https://doi.org/10.1590/s0100-84042008000200014 ,,,,,fruit,53.5,43,61.54,39,12.5,40,NA,NA,NA,NA,5.55,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,NA,NA,5,,,,,yes,2,,,,,,,,,200,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,"cardoso et al., 2008",brazilian journal of botany,https://doi.org/10.1590/s0100-84042008000200014 ,,,,,
Gentianales,Verbenaceae,Lantana,Lantana peduncularis,NA,Lantana peduncularis,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,white,funnelform,funnelform,zygomorphic,4,NA,NA,3.5,NA,NA,,shrub,perennial,0.5,2,1.25,carrion-tacuri 2012,pacific science,https://doi.org/10.2984/66.4.2 ,,,,,fruit,41.5,21,NA,NA,NA,NA,0.3,10,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,no,NA,,,,,,,,,,,,,,,,0.05,0.05,18,0.0105,NA,NA,43.5,NA,NA,,,,,,,,,,,,,,,galapagos,ecuador,carrion-tacuri 2012,pacific science,https://doi.org/10.2984/66.4.2 ,,,,,
Lamiales,Fabaceae,Acacia,Acacia rorudiana,NA,Acacia rurodiana,bisexual,hermaphrodite,,NA,NA,flower,,NA,,yellow,tube,brush,actinomorphic,6,NA,NA,2.35,,,,shrub,perennial,NA,8,4,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,yes,0.9,1,1,yes,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,,,,,,,,
Fabales,Cactaceae,Opuntia,Opuntia echios,NA,Opuntia  echios,bisexual,hermaphrodite,,self_compatible,NA,flower,yes,NA,,yellow,bowl,bowl,actinomorphic,67.47,57.6,77.34,25.33,22.11,28.55,NA,tree,perennial,1.5,4,2.75,hicks 2000; hervias-parejo & traveset 2018,journal: biotropica; journal: american journal of botany,https://doi.org/10.1646/0006-3606(2000)032[0235:PSAGPO]2.0.CO;2,https://doi.org/10.1002/ajb2.1122 ,,,,NA,,,,,,,,,,,,,,,4.01,1.54,6.48,,,,,,,5.7,5.15,6.25,21.27,17.79,25.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,0.66,0.09,NA,,,,,,,20.4,2.07,NA,,,,,,,,,,,,,,,galapagos,ecuador,hicks 2000; hervias-parejo & traveset 2018,biotropica; american journal of botany,https://doi.org/10.1646/0006-3606(2000)032[0235:PSAGPO]2.0.CO;2,https://doi.org/10.1002/ajb2.1122 ,,,,
Caryophyllales,Boraginaceae,Cordia,Cordia lutea,NA,Cordia lutea,bisexual,distylous,,self_compatible,NA,flower,,NA,,yellow,campanulate,campanulate,actinomorphic,30,20,40,24.63,20.27,28.99,NA,tree,perennial,3,6,4.5,mcmullen 2011; hervias-parejo & traveset 2018,journal: plant systematics; journal: american journal of botany,https://doi.org/10.1007/s00606-011-0567-3 ,https://doi.org/10.1002/ajb2.1122 ,,,,fruit,20,179,75,99,25,109,5,141,NA,NA,NA,NA,,,18,15.3,20.7,,,,,,,2.48,1.42,3.54,18.06,14.58,21.54,,,,,,,,,7000,,,,,,,6,no,NA,,,no,NA,,,,,,,,,,,,,,,,0.46,0.06,NA,,,,21.41,NA,info from 2 journals,,,,,53,NA,NA,53,NA,NA,1,,,,galapagos,ecuador,mcmullen 2011; hervias-parejo & traveset 2018,plant systematics; american journal of botany,https://doi.org/10.1007/s00606-011-0567-3 ,https://doi.org/10.1002/ajb2.1122 ,,,,
Boraginales,Fabaceae,Prosopis,Prosopis juliflora,NA,Prosopis juliflora,bisexual,hermaphrodite,,self_incompatible,NA,flower,no,NA,,green,campanulate,campanulate,actinomorphic,2,NA,NA,5,NA,NA,NA,tree,perennial,3,15,9,holmgren 2003,journal: forest ecology and management,https://doi.org/10.1016/s0378-1127(02)00559-5 ,,,,,NA,,,,,,,,,,,,,,,5.5,NA,NA,2.5,NA,NA,1.65,NA,NA,,,,4.5,NA,NA,,,,,,,,,,,,,,,,5,,,,,no,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n=56,diploid,galapagos,ecuador,holmgren 2003,forest ecology and management,https://doi.org/10.1016/s0378-1127(02)00559-5 ,,,,,
Fabales,Cactaceae,Opuntia,Opuntia galapageia,NA,Opuntia galapageia,bisexual,hermaphrodite,,NA,NA,flower,,NA,,yellow,bowl,bowl,actinomorphic,100,NA,NA,25,,,,tree,perennial,1,8,4.5,racine 1974,journal: biotropica,https://doi.org/10.2307/2989650 ,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,racine 1974,biotropica,https://doi.org/10.2307/2989650 ,,,,,
Caryophyllales,Zygophyllaceae,Tribulus,Tribulus cistoides,NA,Tribulus cistoides,bisexual,protandrous,,self_compatible,NA,flower,,NA,,yellow,bowl,bowl,actinomorphic,25,NA,NA,0.5,NA,NA,NA,herb,annual,0.6,5,2.8,chamorro 2012,journal: annals of botany,https://doi.org/10.1093/aob/mcs132 ,,,,,NA,,,,,,,,,,,,,,,9,NA,NA,3,NA,NA,1.5,NA,NA,,,,,,,,,,,,,,,,,,,,,,10,no,NA,,,no,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,chamorro 2012,annals of botany,https://doi.org/10.1093/aob/mcs132 ,,,,,
Zygophyllales,Celastraceae,Maytenus,Maytenus octogona,NA,Maytenus octogona,bisexual,hermaphrodite,,NA,NA,flower,,NA,,yelowish green,bowl,bowl,actinomorphic,3.5,3,4,1,NA,NA,,shrub,perennial,1,8,4.5,mcmullen,book: flowering plants of the galapagos,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,mcmullen,book: flowering plants of the galapagos,,,,,,
Celastrales,Nyctaginaceae,Boerhaavia,Boerhaavia caribaea,NA,Boerhaavia caribaea,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,pink,campanulate,campanulate,actinomorphic,0.5,NA,NA,0.5,NA,NA,,herb,perennial,0.3,1.5,0.9,felger 2016,journal: arizona flora,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,yes,NA,,,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n=52,diploid,galapagos,ecuador,felger 2016,arizona flora,NA,,,,,
NA,Apocynaceae,Sarcostemma,Sarcostemma angustissimum,NA,Sarcostemma angustissimum,bisexual,hermaphrodite,,NA,NA,flower,,NA,,brownish green,bowl,bowl,actinomorphic,0.5,NA,NA,0.5,NA,NA,NA,herb,perennial,1,2,1.5,holm 1950,journal: missouri botanical garden,https://doi.org/10.2307/2394402 ,,,,,NA,,,,,,,,,,,,,,,1,NA,NA,,,,1,NA,NA,,,,2,NA,NA,,,,,,,,,,,,,,,,5,yes,NA,,,yes,NA,7,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,holm 1950,missouri botanical garden,https://doi.org/10.2307/2394402 ,,,,,
Gentianales,Malvaceae,Waltheria,Waltheria ovata,NA,Waltheria ovata,bisexual,distylous,,partially_self_incompatible,NA,flower,,NA,,yellow,campanulate,campanulate,actinomorphic,5,NA,NA,5,NA,NA,,shrub,perennial,0.1,2,1.55,"bramow et al., 2013; hervias-parejo & traveset 2018",journal: evolutionary ecology; journal: american journal of botany,https://doi.org/10.1007/s10682-012-9588-9 ,https://doi.org/10.1002/ajb2.1122 ,,,,fruit,65,492,64.5,179,20,10,50,10,,,,,,,4.6,4.37,4.83,,,,,,,,,,7.49,6.89,8.09,,,,,,,,,,,,,,,,5,yes,one morph,,,yes,one morph,,,,,,,,,,,,,,,,0.1,0,NA,,,,18,0,NA,,,,,,,,,,,,,,,galapagos,ecuador,"bramow et al., 2013; hervias-parejo & traveset 2018",evolutionary ecology; american journal of botany,https://doi.org/10.1007/s10682-012-9588-9 ,https://doi.org/10.1002/ajb2.1122 ,,,,
Malvales,Asteraceae,Scalesia,Scalesia affinis,NA,Scalesia affinis,bisexual,hermaphrodite,,partially_self_incompatible,NA,capitulum,,NA,,white,bowl,bowl,actinomorphic,60,capitulum,capitulum,10,capitulum,NA,,shrub,perennial,0.5,3,1.75,nielsen 2003,journal: botanical journal of the linnean society,https://doi.org/10.1007/s10682-006-9128-6 ,,,,,fruit,58,32,63,22,51,13,56,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,115,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,nielsen 2003,botanical journal of the linnean society,https://doi.org/10.1007/s10682-006-9128-6 ,,,,,
Asterales,Nyctaginaceae,Boerhavia,Boerhavia tuberosa,NA,Commicarpus tuberosus,bisexual,hermaphrodite,,NA,NA,flower,,NA,,pink,campanulate,campanulate,actinomorphic,0.5,NA,NA,0.5,NA,NA,,herb,perennial,0.3,1.5,0.9,felger 2016,journal: arizona flora,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,felger 2016,arizona flora,NA,,,,,
NA,Fabaceae,Parkinsonia,Parkinsonia aculeata,NA,Parkinsonia aculeata,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,yellow,papilionaceous,bowl,zygomorphic,25,20,30,5,NA,NA,,tree,perennial,2,10,6,wiggins & porter ,online; book: flora of the galapagos islands,,,,,,NA,,,,,,,,,,,,,,,9.75,8,11.5,,,,,,,,,,,,,,,,,,,,,65000,1201,,,,,,10,yes,,,,yes,,8,17,13,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,wiggins & porter ,online; book: flora of the galapagos islands,,,,,,
Fabales,Fabaceae,Crotolaria,Crotalaria pumila,NA,Crotalaria pumila,bisexual,hermaphrodite,,self_compatible,NA,flower,yes,NA,,yellow,papilionaceous,papilionaceous,zygomorphic,10,NA,NA,10,NA,NA,,herb,perennial,0.2,0.6,0.4,NA,online: red de herbarios del noroeste de mexico,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,NA,online: red de herbarios del noroeste de mexico,,,,,,
Fabales,Polygalaceae,Polygala,Polygala galapageia,NA,Polygala galapageia,bisexual,hermaphrodite,,NA,NA,flower,,NA,,pink,papilionaceous,papilionaceous,zygomorphic,1,NA,NA,2.5,NA,NA,NA,herb,annual,0.15,0.5,0.33,paiva 2006,journal: flora of tropical east africa,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,paiva 2006,flora of tropical east africa,NA,,,,,
Fabales,Fabaceae,Tamarindus,Tamarindus indica,NA,Tamarindus indica,bisexual,hermaphrodite,,partially_self_incompatible,NA,flower,,NA,,yellow,papilionaceous,bowl,zygomorphic,20,NA,NA,20,NA,NA,,tree,perennial,10,30,20,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,NA,NA,3,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,,,,,,,,
Fabales,Convolvulaceae,Ipomoea,Ipomoea habeliana,NA,Ipomoea habeliana,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,white,funnelform,funnelform,actinomorphic,1.25,1,1.5,110,10,NA,,vine,perennial,1,8,4.5,mcmullen 2009,journal: botanical journal of the linnean society,https://doi.org/10.1111/j.1095-8339.2009.00963.x,,,,,fruit,50,14,80,10,90,11,50,10,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,1126,NA,NA,5628,NA,NA,1407,4,NA,NA,5,yes,25,,2,yes,25,,,,,,,,,,,,,,,,74.4,NA,NA,,,,,,,,,,,145,119,156,145,119,156,1,,,,galapagos,ecuador,mcmullen 2009,botanical journal of the linnean society,https://doi.org/10.1111/j.1095-8339.2009.00963.x,,,,,
Solanales,Asteraceae,Blainvillea,Blainvillea dichotoma,NA,Blainvillea dichotoma,bisexual,hermaphrodite,,NA,NA,flower,,NA,,white,campanulate,bowl,actinomorphic,6,capitulum,capitulum,3,capitulum,NA,,herb,annual,0.1,1,0.5,wiggins & porter ,book: flowering plants of the galapagos,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,wiggins & porter ,book: flowering plants of the galapagos,NA,,,,,
Asterales,Simaroubaceae,Castela,Castela galapageia,NA,Castela galapageia,separated,dioecious,,dioecious,NA,flower,,NA,,red,bowl,bowl,actinomorphic,10,NA,NA,4,NA,NA,,shrub,perennial,1,5,2.5,wiggins & porter ,book: flowering plants of the galapagos,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,wiggins & porter ,book: flowering plants of the galapagos,NA,,,,,
