sp,GenT,H,La,GrowSSD,RepSSD,S,R,Kingdom,Sessi
Alaria nana,178.537847,0.302190262,3.718756005,0.073197209,0.052436542,0.430692931,Aquatic,Chromalveolata,Sessile
Alces alces,5.559106354,0.733119056,2,0.090909091,0.018086738,1.074176308,Terrestrial,Animalia,Mobile
Alliaria petiolata,NA,NA,2,NA,NA,NA,Terrestrial,Plantae,Sessile
Allium monanthum,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Allium sativum,2.291674189,0.01381557,2.01010101,0.255074848,0.208974523,0.068794879,Terrestrial,Plantae,Sessile
Allium tricoccum,38.80749432,0.915260305,9.160635045,0.422332988,0.028249535,0.339730763,Terrestrial,Plantae,Sessile
Allium vineale,NA,NA,2.01010101,NA,NA,NA,Terrestrial,Plantae,Sessile
Alnus incana,15.17827559,1.098990354,3.958579882,0.075457136,0.021503051,1.367222557,Terrestrial,Plantae,Sessile
Alytes muletensis,7.249149559,0.051389505,2.071618037,0.333333333,0.236988772,0.188299148,Aquatic,Animalia,Mobile
Amaranthus retroflexus,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Amazona vittata,10.90294462,0.824702755,6.310344828,0.185212248,0.088423264,1.008745273,Terrestrial,Animalia,Mobile
Ambloplites rupestris,3.009969595,0.063931559,3,0.333333333,0.74868039,0.150992157,Aquatic,Animalia,Mobile
Ambrosia deltoidea,8.428870961,0.68532657,4.186939799,0.051642429,0.011239755,0.053431458,Terrestrial,Plantae,Sessile
Ammocrypta pellucida,2.364808446,NA,2,0.249743748,0.368769448,0.213001551,Aquatic,Animalia,Mobile
Ammodramus savannarum,3.271836685,0.231944229,2,0.5,0.286211742,0.265342306,Terrestrial,Animalia,Mobile
Amphiascus tenuiremis,4.056322781,0.430093448,4.073039742,0.233743981,0.229122089,0.0940124,Aquatic,Animalia,Mobile
Amphimedon compressa,7.168115499,0.743901641,1,0.105189944,0.01685761,0.349002337,Aquatic,Animalia,Sessile
Amphiprion percula,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Mobile
Anarhynchus frontalis,14.06169701,0.447677454,3,0.333333333,0.068733017,0.068839708,Terrestrial,Animalia,Mobile
Anarrhinum fruticosum,8.431279005,0.811810299,2,0.179783559,0.106218254,0.959087626,Terrestrial,Plantae,Sessile
Anas fulvigula,4.009127771,0.273215642,1,NA,NA,0.036445917,Terrestrial,Animalia,Mobile
Anas laysanensis,3.418470771,0.129006245,1,0.5,0.686854586,0.138797122,Terrestrial,Animalia,Mobile
Anas platyrhynchos,3.082563578,0.256269271,1,0.5,0.152775357,0.244464794,Terrestrial,Animalia,Mobile
Andropogon gerardii,2.240575933,0.27545748,2.20697639,0.171642485,0.15624122,0.341567134,Terrestrial,Plantae,Sessile
Androsace elongata,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Anemone patens,121.2239838,0.635825815,2.113131027,0.048107633,0.039627171,1.05093548,Terrestrial,Plantae,Sessile
Anser anser,6.138982487,0.290356153,3,0.333333333,0.146922367,0.129976718,Terrestrial,Animalia,Mobile
Antechinus agilis,2.15811108,0.145973439,2,0.231215382,0.28024382,0.291669158,Terrestrial,Animalia,Mobile
Anthericum liliago,4.511497554,0.595294049,8.138180709,0.44750427,0.090534232,1.684816275,Terrestrial,Plantae,Sessile
Anthericum ramosum,2.398674184,0.420240551,6.965718694,0.564461497,0.072979501,0.062017431,Terrestrial,Plantae,Sessile
Anthropoides paradiseus,11.55941978,0.448069924,5,0.2,0.11200822,0.104494956,Terrestrial,Animalia,Mobile
Antirrhinum molle,14.89241527,0.58971291,3.42994395,0.09723818,0.025629429,0.17021468,Terrestrial,Plantae,Sessile
Antirrhinum subbaeticum,25.08908552,0.259882195,4.280563519,0.204678831,0.020613621,0.393435953,Terrestrial,Plantae,Sessile
Aquilaria crassna,67.75107701,1.37175758,48.28512604,0.024337733,0.009894875,0.81598194,Terrestrial,Plantae,Sessile
Aquilaria malaccensis,9.881498076,0.291763425,7.354228948,0.088016324,0.080961219,0.494993097,Terrestrial,Plantae,Sessile
Aquilaria microcarpa,25.92862083,0.55750081,8.059603472,0.07029957,0.076897391,0.732644095,Terrestrial,Plantae,Sessile
Aquilegia chrysantha,18.86005422,0.574151848,3.918066742,0.032435663,0.133470335,2.446352557,Terrestrial,Plantae,Sessile
Araucaria araucana,21.5410384,0.28318491,1,0.035714286,0.000123476,4.69E-18,Terrestrial,Plantae,Sessile
Araucaria cunninghamii,141.2692205,1.64880621,87.20289017,0.089464528,0.090927536,5.063119459,Terrestrial,Plantae,Sessile
Araucaria hunsteinii,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Araucaria muelleri,NA,NA,428.4509804,NA,NA,NA,Terrestrial,Plantae,Sessile
Arctocephalus australis,NA,1.004527103,3,NA,NA,NA,Aquatic,Animalia,Mobile
Arctodiaptomus salinus,16.0002894,0.290707079,8.585146122,0.060081825,0.002409378,0.015390651,Aquatic,Animalia,Mobile
Arctophila fulva,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Ardisia elliptica,34.71628412,0.863882894,12.88826711,0.098805265,0.107850656,5.142214445,Terrestrial,Plantae,Sessile
Arenaria grandiflora,37.78121108,0.34487741,2.666666667,0.203291278,0.008924374,0.851598915,Terrestrial,Plantae,Sessile
Arenaria serpyllifolia,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Argyroxiphium sandwicense,245.363616,1.200297653,28.66501732,0.004555516,0.05951031,5.054716307,Terrestrial,Plantae,Sessile
Ariocarpus scaphirostris,NA,NA,87.34415187,NA,NA,NA,Terrestrial,Plantae,Sessile
Arisaema serratum,14.39937621,1.008882869,8.400604708,0.037916775,0.023137492,0.413089342,Terrestrial,Plantae,Sessile
Arisaema triphyllum,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Armeria maritima,11.78768021,1.28411503,4.597444089,0.087164567,0.109928979,1.023620152,Terrestrial,Plantae,Sessile
Armeria merinoi,6.709729105,0.569146986,2.784539218,0.153434678,0.030976921,0.248141614,Terrestrial,Plantae,Sessile
Arnica angustifolia,46.51177375,0.031814134,12.415233,0.036011131,7.74E-05,0.001712936,Terrestrial,Plantae,Sessile
Artemisia genipi,14.26713264,0.785969963,5.417083069,0.059169132,0.037194424,1.090778139,Terrestrial,Plantae,Sessile
Asarum canadense,15.24558315,0.454570146,3,0.279111495,0.033533248,0.069390002,Terrestrial,Plantae,Sessile
Asclepias meadii,20.92614673,0.321464667,8.383499233,0.055024347,0.001891422,0.023246454,Terrestrial,Plantae,Sessile
Ascophyllum nodosum,14.97136453,0.834494295,2,0.076923641,0.045243736,0.345336813,Aquatic,Chromalveolata,Sessile
Aspasia principissa,19.84406647,1.105152761,3,0.052839037,0.010125335,0.628954203,Terrestrial,Plantae,Sessile
Aster amellus,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Astragalus alopecurus,7.34844072,0.688812366,3.114928757,0.001769742,0.309241901,12.68607363,Terrestrial,Plantae,Sessile
Astragalus bibullatus,NA,0.174497491,3.370262183,NA,NA,3.906695298,Terrestrial,Plantae,Sessile
Astragalus cottonii,60.63196451,0.192349149,3.380952381,0.197107512,0.007686408,0.550787213,Terrestrial,Plantae,Sessile
Astragalus cremnophylax,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Astragalus michauxii,6.807016593,0.423488585,1,0.108078624,0.03220588,0.445846815,Terrestrial,Plantae,Sessile
Astragalus peckii,3.480156269,0.490933534,2,0.026676049,0.130396741,0.082574091,Terrestrial,Plantae,Sessile
Astragalus scaphoides,NA,0.177650366,4.591156546,0.087983005,0.056851007,0.452131064,Terrestrial,Plantae,Sessile
Astragalus tremolsianus,25.41877799,0.495635122,3.324230847,0.135234318,0.022935782,0.367785751,Terrestrial,Plantae,Sessile
Astragalus tyghensis,8.06665294,0.698391938,2,0.124251906,0.081986229,0.568758562,Terrestrial,Plantae,Sessile
Astroblepus ubidiai,3.632338173,0.342764245,3,0.142857143,0.139422913,0.352608067,Aquatic,Animalia,Mobile
Astrocaryum aculeatissimum,183.5074029,1.545646109,41.06327191,0.029041559,0.007891335,1.295354613,Terrestrial,Plantae,Sessile
Astrocaryum mexicanum,257.9654438,1.788728759,41.36591592,0.054301894,0.052355027,1.498319977,Terrestrial,Plantae,Sessile
Astrophytum asterias,6.259932605,0.972410397,1,0.129601748,0.207182678,4.576517339,Terrestrial,Plantae,Sessile
Astrophytum capricorne,19.63348281,0.852535925,1,0.058200097,0.157814538,14.08907858,Terrestrial,Plantae,Sessile
Astrophytum ornatum,36.05790857,0.790347657,1,0.000470023,0.170133518,12.25714049,Terrestrial,Plantae,Sessile
Atriplex acanthocarpa,4.379918956,0.723420286,2.38121547,0.115312758,0.14252998,0.629506039,Terrestrial,Plantae,Sessile
Atriplex canescens,11.2007758,0.853923679,2.447178003,0.103138304,0.091318501,0.862373459,Terrestrial,Plantae,Sessile
Atriplex vesicaria,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Aurinia saxatilis,NA,NA,2.393117398,NA,NA,NA,Terrestrial,Plantae,Sessile
Avicennia germinans,21.50995582,2.285112186,10.02128149,0.032075569,0.081604928,1.049378249,Terrestrial,Plantae,Sessile
Aythya affinis,NA,0.2784644,1,NA,NA,NA,Terrestrial,Animalia,Mobile
Balsamorhiza sagittata,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Banksia ericifolia,11.98306643,1.053051279,5.125,0.045096399,0.079595641,2.575753856,Terrestrial,Plantae,Sessile
Bertholletia excelsa,195.6649228,2.89863686,122.093153,0.005996143,0.01766202,1.22300873,Terrestrial,Plantae,Sessile
Betula pendula,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Betula pubescens,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Boechera fecunda,0.340717033,0.636062818,3.753969959,0.143797365,0.191158808,0.660720664,Terrestrial,Plantae,Sessile
Bonasa umbellus,2.176229198,0.253102812,1,0.5,0.143704117,0.142840424,Terrestrial,Animalia,Mobile
Borassus aethiopum,95.29005425,1.189127532,91.14648318,0.08333455,0.079933219,0.347139919,Terrestrial,Plantae,Sessile
Bos frontalis,9.280766226,NA,4,0.038392702,0.004820279,0.320304465,Terrestrial,Animalia,Mobile
Bos primigenius,8.135951871,0.870761621,6,0.071428571,0.012499807,0.172193712,Terrestrial,Animalia,Mobile
Bostrychia hagedash,7.088734738,0.704208725,3,0.142857143,0.027850225,0.374438651,Terrestrial,Animalia,Mobile
Bothriochloa ischaemum,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Bouteloua rigidiseta,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Brachyrhaphis rhabdophora,19.47467386,1.130365871,7.784453381,0.068238159,0.071987023,0.845818019,Aquatic,Animalia,Mobile
Brachyteles hypoxanthus,37.20487465,0.233741486,9,0.1,0.008236762,0.039823847,Terrestrial,Animalia,Mobile
Brassica insularis,12.25487065,0.481406647,4.381910186,0.174165809,0.040539178,0.133804719,Terrestrial,Plantae,Sessile
Braya fernaldii,10.7338099,0.745605427,7.127659574,0.10278289,0.096104944,5.865025903,Terrestrial,Plantae,Sessile
Braya longii,11.30346771,0.765120991,7.040816327,0.112990926,0.110340299,5.780078716,Terrestrial,Plantae,Sessile
Bromus tectorum,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Brosimum alicastrum,54.8804129,0.206302096,15.69896882,0.059742847,0.047442006,1.523401723,Terrestrial,Plantae,Sessile
Bursera glabrifolia,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Buteo solitarius,13.59802685,0.601078867,4,0.25,0.048039512,0.050072056,Terrestrial,Animalia,Mobile
Caladenia argocalla,5.283989156,0.559488811,3.862049227,0.112169356,0.062932354,0.950086649,Terrestrial,Plantae,Sessile
Caladenia clavigera,8.738781457,0.449128118,2.503307276,0.089141237,0.043899761,0.408771305,Terrestrial,Plantae,Sessile
Caladenia elegans,7.043004176,0.788213984,4.450655625,0.079766449,0.044780235,1.044034096,Terrestrial,Plantae,Sessile
Caladenia graniticola,5.813741126,0.510156912,2.874765654,0.146074956,0.058448452,0.726614632,Terrestrial,Plantae,Sessile
Caladenia macroclavia,4.200746378,0.571473418,2.876524676,0.174331482,0.079111504,0.807756985,Terrestrial,Plantae,Sessile
Caladenia oenochila,7.006068839,0.653556191,3.472799209,0.089568375,0.048418411,0.85963976,Terrestrial,Plantae,Sessile
Caladenia rosella,7.477110398,0.587733741,2.831501832,0.081566893,0.048836621,0.612178036,Terrestrial,Plantae,Sessile
Caladenia valida,8.935785172,0.222523702,6.903187721,0.056590742,0.035041192,0.557837391,Terrestrial,Plantae,Sessile
Calamus nambariensis,42.18759922,1.502311454,19.57410062,0.037049671,0.006381045,0.261421731,Terrestrial,Plantae,Sessile
Calamus rhabdocladus,174.9033321,1.382321796,19.16573015,0.108597442,0.003552806,0.072976322,Terrestrial,Plantae,Sessile
Calathea ovandensis,19.51961951,0.326198039,2.011122346,0.02863336,0.052921144,0.331916494,Terrestrial,Plantae,Sessile
Calidris temminckii,5.848910593,0.394737701,1,0.333333333,0.023348555,0.188989868,Terrestrial,Animalia,Mobile
Callorhinus ursinus,10.38591139,NA,3,0.047527391,0.009545035,0.626151277,Aquatic,Animalia,Mobile
Callospermophilus lateralis,1.588315384,NA,1,0.166573184,0.278253862,0.394845046,Terrestrial,Animalia,Mobile
Calluna vulgaris,6.091963175,1.017214501,3.164502165,5.117353956,0.393675108,11.30184975,Terrestrial,Plantae,Sessile
Calocedrus decurrens,87.864874,1.511737187,30.24838983,0.03916435,0.029954225,0.959159898,Terrestrial,Plantae,Sessile
Calocedrus macrolepis,98.93591943,1.207580266,40.9991341,0.008071333,0.011414447,0.051428648,Terrestrial,Plantae,Sessile
Calochortus albus,7.093567997,0.598887256,2.98019802,0.079487151,0.178920865,0.297282293,Terrestrial,Plantae,Sessile
Calochortus lyallii,16.24160948,0.821489109,9.094714859,0.043437746,0.013477492,0.440460104,Terrestrial,Plantae,Sessile
Calochortus macrocarpus,19.12158749,0.854165295,10.05473278,0.040888273,0.00857015,0.123764974,Terrestrial,Plantae,Sessile
Calochortus obispoensis,34.6726679,0.223936462,20.18181818,0.039420637,0.025210424,0.142358877,Terrestrial,Plantae,Sessile
Calochortus pulchellus,16.22429238,1.052861418,2.98019802,0.021832957,0.12580458,1.027991769,Terrestrial,Plantae,Sessile
Calochortus tiburonensis,21.42746334,0.34795336,4.846153846,0.096554179,0.063147433,1.021687048,Terrestrial,Plantae,Sessile
Calyptorhynchus lathami,13.87669384,0.468961873,5,0.2,0.034065596,0.063227261,Terrestrial,Animalia,Mobile
Camellia japonica,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Canis lupus,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Capra ibex,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Cardisoma guanhumi,5.784069606,3.31E-05,3.322751323,0.33333318,0.32406681,0.239333574,Aquatic,Animalia,Sessile
Carduus nutans,3.209585196,0.156392231,1,0.066543188,0.455901299,3.760437911,Terrestrial,Plantae,Sessile
Caretta caretta,NA,NA,1,NA,NA,NA,Aquatic,Animalia,Mobile
Carex aquatilis,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Carex bigelowii,NA,NA,3.96442006,NA,NA,NA,Terrestrial,Plantae,Sessile
Carex humilis,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Carex membranacea,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Carlina vulgaris,1.570673069,0.542307789,4.627332601,0.109453478,0.363053002,0.053271413,Terrestrial,Plantae,Sessile
Carnegiea gigantea,37.32448297,0,1,0.005343666,0.00288787,0,Terrestrial,Plantae,Sessile
Cassia nemophila,13.82948093,1.881974497,2,0.004027652,0.074676185,6.97923846,Terrestrial,Plantae,Sessile
Castanea dentata,53.96340085,1.272609481,19.32762912,0.012979177,0.003844547,0.006709144,Terrestrial,Plantae,Sessile
Catopsis compacta,14.30043598,0.75712187,11.70524148,0.075603143,0.035390843,0.629218115,Terrestrial,Plantae,Sessile
Catopsis sessiliflora,19.91452363,0.833109337,8.815290987,0.061089389,0.047612332,0.0216126,Terrestrial,Plantae,Sessile
Cebus capucinus,29.36270287,0.315833906,7,0.125,0.009078751,0.0351911,Terrestrial,Animalia,Mobile
Cecropia obtusifolia,20.92896686,0.003472849,4.38042543,0.038815659,0.121760876,5.528989619,Terrestrial,Plantae,Sessile
Cedrela odorata,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Centaurea corymbosa,4.490929047,0.450245766,4.179781686,0.186445719,0.127752382,0.333965695,Terrestrial,Plantae,Sessile
Centaurea horrida,37.01762793,1.016954845,4.481053673,0.127207503,0.018097096,0.658624392,Terrestrial,Plantae,Sessile
Centaurea podospermifolia,4.611554194,0.32650381,3.106264442,0.322548245,0.139962294,1.067742284,Terrestrial,Plantae,Sessile
Centaurea stoebe,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Centrocercus minimus,4.171010349,0.473081284,3,0.25,0.051633524,0.088256795,Terrestrial,Animalia,Mobile
Cephalanthera longifolia,3.023820585,0.833015012,4.176209755,0.000142966,0.138260986,7.01738594,Terrestrial,Plantae,Sessile
Cephalocereus senilis,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Cephaloleia fenestrata,9.63636171,0.848187915,7,0.142857143,0.076262154,0.053931672,Aquatic,Animalia,Mobile
Cerastium fontanum,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Cerastium pumilum,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Cercopithecus mitis,21.45230122,0.182142715,8,0.111111111,0.009346044,0.049188549,Terrestrial,Animalia,Mobile
Cervus elaphus,7.636469443,1.20934416,2,0.0625,0.017785926,1.271429571,Terrestrial,Animalia,Mobile
Chaerophyllum aureum,34.73967562,0.103014827,2,0.209969856,0.136528647,3.483785465,Terrestrial,Plantae,Sessile
Chamaecrista lineata,62.22045025,0.654440875,4.3824537,0.046061848,0.060165769,1.048121518,Terrestrial,Plantae,Sessile
Chamaedorea elegans,19.89169947,1.171410328,11.28373674,0.056695923,0.045470248,0.99663284,Terrestrial,Plantae,Sessile
Chamaedorea radicalis,21.10056487,0.382288213,6.13750653,0.123960224,0.101087016,1.464144664,Terrestrial,Plantae,Sessile
Chamaelirium luteum,61.79453463,1.777512044,12.27147273,0.014251055,0.003895304,1.440474388,Terrestrial,Plantae,Sessile
Cheirolophus metlesicsii,23.24218054,0.610520333,2.455604076,0.152108785,0.050541921,0.705022642,Terrestrial,Plantae,Sessile
Chelodina expansa,26.68079814,0.566155082,7.524861878,0.291072476,0.246376315,0.458770995,Aquatic,Animalia,Mobile
Chelydra serpentina,57.88055346,0.658973241,11.70758463,0.114922496,0.103376562,0.119294967,Aquatic,Animalia,Mobile
Chlorocardium rodiei,NA,NA,206.3778948,NA,NA,NA,Terrestrial,Plantae,Sessile
Chlorocebus aethiops,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Choerospondias axillaris,511.6934258,0.044853291,4.969394538,0.028896662,0.128111567,0.001659109,Terrestrial,Plantae,Sessile
Chrosomus oreas,2.001785673,0.002116663,2,0.5,3.358676043,0.263003519,Aquatic,Animalia,Mobile
Chrysemys picta,8.406164491,NA,7,0.027777778,0.002641411,0.051850651,Aquatic,Animalia,Mobile
Cicindela ohlone,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Ciconia ciconia,4.801993776,0.274005697,2,0.5,0.370462231,0.207453419,Terrestrial,Animalia,Mobile
Cirsium acaule,44.17937466,0.352087299,2.474926254,0.018889032,0.008437641,0.148397962,Terrestrial,Plantae,Sessile
Cirsium arvense,1.110399601,0.168166427,3.198067633,0.168390436,1.238468703,0.18682053,Terrestrial,Plantae,Sessile
Cirsium dissectum,163.5038837,0.652542881,5.078302717,0.551720939,0.000233153,0.00071838,Terrestrial,Plantae,Sessile
Cirsium palustre,6.762732545,0.291472162,3.643029178,0.159110604,0.217412607,0.736155872,Terrestrial,Plantae,Sessile
Cirsium pannonicum,30.96314349,0.508877946,2.592356688,0.032356439,0.007589377,0.147890995,Terrestrial,Plantae,Sessile
Cirsium pitcheri,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Cirsium scariosum,14.6819459,0.274694998,5.703703704,0.046633386,0.054218433,0,Terrestrial,Plantae,Sessile
Cirsium tracyi,1.729247061,0.216072057,6.566210046,0.093398973,0.233623791,2.713275606,Terrestrial,Plantae,Sessile
Cirsium undulatum,1.199341603,0.110328396,1,0.5,0.51716665,0.11285497,Terrestrial,Plantae,Sessile
Cirsium vulgare,25.47173507,0.331567573,2.485522292,0.027315762,0.290654423,6.838823574,Terrestrial,Plantae,Sessile
Cleistesiopsis bifaria,5.450087272,0.265549626,2.818202569,0.039580991,0.007316881,0.087783302,Terrestrial,Plantae,Sessile
Cleistesiopsis divaricata,9.696840066,0.351974267,4.121695305,0.081332886,0.013534254,0.18761678,Terrestrial,Plantae,Sessile
Clemmys guttata,27.76723379,1.387901464,6.926108374,0.154943178,0.09526144,0.995739485,Aquatic,Animalia,Mobile
Clidemia hirta,15.25191068,0.244952637,4.010536879,0.073080282,0.145945201,1.356672657,Terrestrial,Plantae,Sessile
Clinocottus analis,6.99563222,0.942937083,2.149425287,0.12604472,0.079317957,1.452463226,Aquatic,Animalia,Mobile
Clinocottus globiceps,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Mobile
Clinostomus funduloides,2.006673886,0.014592809,2,0.5,6.025130852,0.713839576,Aquatic,Animalia,Mobile
Clintonia borealis,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Coccothrinax readii,85.91070476,2.344100965,95.7960373,0.020627466,0.029334835,0.464358285,Terrestrial,Plantae,Sessile
Cochlearia bavarica,7.403509441,0.354312561,4.419809902,0.190418332,0.110346014,0.148238615,Terrestrial,Plantae,Sessile
Cochlearia pyrenaica,5.343115575,0.425331708,3.760757552,0.195178618,0.132823303,0.193074912,Terrestrial,Plantae,Sessile
Coespeletia timotensis,14.33438068,0.396792271,2,0.051728585,0.129933626,1.85277257,Terrestrial,Plantae,Sessile
Colchicum autumnale,22.37407971,0.979823165,12.6901805,0.05006428,0.02644938,0.336539849,Terrestrial,Plantae,Sessile
Colias alexandra,7,NA,7,0.142691485,0.116912777,0,Terrestrial,Animalia,Mobile
Collinsia verna,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Commelina benghalensis,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Commelina bracteosa,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Connochaetes taurinus,7.915036358,NA,3,0.058624764,0.014478064,0.50944728,Terrestrial,Animalia,Mobile
Coragyps atratus,15.56118266,0.432082056,8,0.125,0.020322822,0.044751469,Terrestrial,Animalia,Mobile
Corallorhiza trifida,14.65958912,0.057021823,8.142857143,0.073163049,0.008114667,0.072047074,Terrestrial,Plantae,Sessile
Cornus florida,20.07300319,0.00292241,3.00010001,0.242639016,0.09689678,0.001881802,Terrestrial,Plantae,Sessile
Cottus bairdii,2.350240363,0.308232503,2,0.333333333,1.21656345,0.93919777,Aquatic,Animalia,Mobile
Crassostrea virginica,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Crocodylus johnsoni,25.52998979,NA,13,0.017855811,0.007012766,0.358634065,Aquatic,Animalia,Mobile
Crocodylus niloticus,22.11886994,1.607362414,10.45837135,0.165264472,0.167919253,1.554364451,Aquatic,Animalia,Mobile
Cryptophis nigrescens,5.378963177,0.456301704,3,0.333333333,0.207860435,0.155997671,Terrestrial,Animalia,Mobile
Cucurbita pepo,NA,0.515913562,1,0.111569861,0.4390881,0.390173002,Terrestrial,Plantae,Sessile
Cynoglossum officinale,0.419055254,0.071465964,3,0.25,0.251230514,0.134892582,Terrestrial,Plantae,Sessile
Cyphastrea microphthalma,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Cyprinodon diabolis,26.56098624,0.820154704,2,0.198019065,0.059786745,0.285940333,Aquatic,Animalia,Mobile
Cyprinus carpio,4.751880217,0.702948619,2,0.2,0.181288081,0.407143266,Aquatic,Animalia,Mobile
